Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Como Cairu interpretava a liberdade econômica liberal no contexto do absolutismo?;"Ele retraduzia a linguagem liberal como prova da sabedoria do governo autocrático que seguia a ""economia da natureza""."
Quais eram os efeitos do tratado de 1810 sobre o desenvolvimento econômico do Brasil?;Fixou a política de priorizar a exportação de gêneros coloniais, encerrando alternativas para o desenvolvimento capitalista e industrial.
Como o tratado afetou o tráfico de escravos?;"Reconhecia a ""injustiça e inutilidade"" do tráfico e comprometia Portugal a estudar medidas para sua abolição, iniciando o processo de restrição imposto pela Inglaterra."
Como a Marinha inglesa atuou em relação ao tráfico de escravos legalmente feito pelo Brasil?;Apreendeu 17 navios baianos envolvidos no tráfico na região do antigo Daomé, mesmo sendo atividade legal na época.
Qual foi a mensagem da Inglaterra ao governo português após as apreensões da Marinha?;Que o rei português deveria considerar o príncipe regente da Inglaterra como protetor e aliado dos escravos oprimidos, iniciando o imperialismo humanitário britânico.
Por que o argumento de Cairu pode parecer irracional hoje, mas era coerente na época?;Porque ele defendia a preservação do absolutismo e a ordem tradicional, usando a linguagem econômica liberal para justificar interesses políticos da monarquia.
"Qual era o ""milagre"" da economia brasileira durante o governo de D. João VI, apesar do tratado de 1810?";O governo conseguiu manter gastos e atividade econômica mesmo com receitas diminuídas, retirando dinheiro da população e prometendo repor com juros, usando o Banco do Brasil para captar fundos.
Como funcionava o sistema de crédito na colônia antes de 1808?;"O crédito era restrito à esfera familiar, sem empresas; empréstimos e financiamentos eram feitos por pessoas físicas, e a renda gerada era usada para pagar impostos, não para financiar o governo."
"Qual o papel do Banco do Brasil no ""milagre"" econômico da década de 1810?";Captava fundos da população por meio da venda de ações, oferecendo privilégios aos acionistas, e emprestava ao governo, mantendo a máquina administrativa funcionando.
Como os acionistas do Banco do Brasil se beneficiavam?;Recebiam privilégios e crédito do banco, tornando-se sócios do governo na captação de fundos, enquanto riscos eram transferidos para os tomadores dos papéis do banco.
O que caracterizou a política econômica da década de 1810 no Brasil?;Crescimento ordenado da dívida pública, investida quase toda na manutenção da máquina administrativa, possibilitando a continuidade econômica e estabilidade política.
"Qual foi a reação dos setores não produtores de ""gêneros coloniais"" ao crescimento econômico da década de 1810?";Insatisfação, pois não se beneficiavam do crescimento e viam a consolidação do governo absolutista como um obstáculo às suas aspirações de liberdade e desenvolvimento.
Qual foi o movimento liberal mais importante no Brasil durante esse período?;A Revolução de 1817 em Pernambuco, motivada por superávit comercial regional, carga fiscal pesada e desigualdades no tratamento fiscal após o tratado de 1810.
Como a situação em Portugal influenciou o liberalismo e os movimentos revolucionários?;A perda de receita e consumidores para o Brasil gerou descontentamento na elite comercial portuguesa, especialmente no Porto e Lisboa, que se tornaram liberais e revolucionários para restaurar o absolutismo.
Qual foi a principal demanda dos liberais portugueses da Revolução de 1820?;A volta do rei absolutista e sua corte para Lisboa, restaurando a autoridade monárquica no território português.
Quais foram as consequências imediatas da volta da corte para a economia brasileira?;Saques aos fundos do Banco do Brasil e das reservas do Erário Real, causando crise financeira e necessidade de reconhecer a dívida do banco como dívida nacional.
O que ocorreu com o Banco do Brasil após a volta da corte?;Houve um verdadeiro assalto ao banco, com retirada dos recursos pelo rei, inclusive joias e diamantes da coroa, levando o banco à falência e à insolvência oficial em julho.
O que foi decretado em julho, após a crise do Banco do Brasil?;A suspensão da troca dos bilhetes do banco por ouro e a obrigatoriedade do curso forçado dos papéis emitidos pelo banco, que desvalorizaram muito no mercado.
Como o governo respondeu à crise do Banco do Brasil?;Continuou emitindo títulos como forma de pagamento, aumentando a desvalorização da dívida e agravando a crise financeira.
Qual foi o efeito econômico dessa crise no Brasil?;Marcou o fim do longo ciclo de crescimento econômico iniciado no século XVIII e inaugurou um novo período marcado pela criação do país independente.
Como era o contexto internacional na época da crise do Banco do Brasil?;O capitalismo já era uma realidade presente e inexorável, não mais uma aposta no futuro, e as perdas econômicas com o sistema colonial tornavam-se permanentes.
O que significava o crescimento do mercado interno no novo cenário econômico?;Passava a ser sinônimo de maior interesse nacional e tornava-se o motivo central para a organização política e econômica do Brasil independente.
Qual era a visão dos traficantes de escravos conservadores e do regente D. Pedro sobre o futuro econômico?;"Ambos não tinham mais ilusões sobre a viabilidade de manter a economia baseada em ""gêneros coloniais"" e aceitavam a imposição do capitalismo iluminista."
Qual foi a fórmula política encontrada por José Bonifácio para viabilizar a mudança na crise?;Implantar um governo de unidade nacional com concessões como Parlamento e Constituição, mantendo a administração conservadora e o regente como monarca para a transição.
Quais avanços políticos foram possíveis antes da independência formal graças ao projeto de José Bonifácio?;Convocação da Constituinte, envio de embaixadores a vários países e controle sobre parte do território brasileiro, além da elaboração da Constituição com representantes dos territórios.
Como José Bonifácio via a questão da escravidão em relação à transição para o capitalismo?;Propôs a integração dos escravos libertos como cidadãos plenos, considerando a miscigenação e os costumes sociais como mecanismos para superar desigualdades.
Qual foi a principal diferença entre José Bonifácio e Thomas Jefferson sobre raça e escravidão?;"Jefferson via a inferioridade como relacionada à raça; José Bonifácio considerava a condição de escravo como geradora das diferenças, defendendo a igualdade racial."
Qual documento José Bonifácio enviou ao Parlamento em 1823 e qual era seu foco principal?;"""Representação sobre a escravidão"", defendendo o fim da escravidão e a miscigenação para formar uma nação homogênea."
Como a Constituição brasileira tratou os libertos em comparação com os Estados Unidos?;A Constituição brasileira garantiu cidadania integral aos libertos, ao contrário dos EUA, onde leis locais restringiam seus direitos.
Quem foi o primeiro negro eleito para o Parlamento brasileiro e quando?;José Rebouças, eleito em 1829 como senador pela Bahia.
Quais diferenças demográficas entre Brasil e EUA influenciaram as políticas de José Bonifácio?;No Brasil, a população livre de cor era maior e os brancos menos da metade da população livre, ao contrário dos EUA, onde mais de 95% da população livre era branca.
Por que o projeto de José Bonifácio não vingou imediatamente?;Porque o monarca, Dom Pedro, mostrava-se cada vez mais absolutista, dificultando a efetivação do projeto liberal.
Que golpe D. Pedro I realizou para fechar a Constituinte?;Atraiu conservadores, prendeu ou deportou os parlamentares liderados por José Bonifácio e promulgou uma Constituição com o poder Moderador para si.
O que era o poder Moderador na Constituição de 1824?;Um quarto poder absoluto e irresponsável, delegado ao imperador para manter independência, harmonia e equilíbrio dos demais poderes.
Como o artigo 99 da Constituição definia a pessoa do imperador?;Inviolada, sagrada e não sujeita a qualquer responsabilidade.
Como o Tratado de Reconhecimento da Independência (1825) afetou a economia?;Manteve privilégios ingleses, como tarifas baixas, monopólios e jurisdição para ingleses, e impôs o fim do tráfico de escravos em cinco anos.
Que dívida o Brasil assumiu com Portugal para obter reconhecimento?;Uma indenização de 2 milhões de libras esterlinas e empréstimos adicionais que totalizaram 5 milhões de libras.
Como foram usados os empréstimos recebidos na independência?;"Apenas 600 mil libras foram para o Banco do Brasil; o restante foi gasto em expedições militares e missões diplomáticas na Europa."
Qual foi o impacto econômico imediato do tratado e da guerra contra a Argentina?;Aumento da dívida pública e da emissão de títulos, chegando a quase o dobro do orçamento imperial em circulação.
O que foi a senhoriagem alta nas moedas de cobre emitidas pelo governo?;Moedas com valor facial muito maior que o valor do metal, estimulando falsificações e contrabando para lucro.
Como a imprensa retratava a situação econômica do Banco do Brasil?;Como um banco que transforma ouro em papel sem valor real, beneficiando apenas os acionistas.
O que significava para a população o aumento da emissão de títulos com deságio?;Inflação e perda do valor real do dinheiro, prejudicando quem tinha títulos do governo.
Qual medida o Parlamento tomou em 1829 para tentar controlar a crise financeira?;Votou uma lei para liquidar o Banco do Brasil e substituir suas notas por papel-moeda sem juros, controlando a dívida emissória.
;
Qual evento político abriu caminho para mudanças na economia brasileira em 1831?;A abdicação de D. Pedro I em 7 de abril de 1831.
Por que a abdicação de D. Pedro I foi crucial para o Brasil?;Porque removeu o imperador que sustentava o absolutismo e permitiu o início da construção de instituições compatíveis com o capitalismo.
Quando entrou em vigor o instrumento legal que proibia o tráfico de escravos?;Em 7 de novembro de 1831, sete meses após a abdicação de D. Pedro I.
Como era a posição econômica do Brasil após 30 anos de políticas absolutistas?;Pior do que no ponto de partida, com atraso em relação às economias concorrentes da América.
Quais eram as tarefas dos liberais da Regência após 1831?;Conter emissões monetárias, instalar orçamento nacional, controlar tratados, conter revoltas populares, criar parlamentarismo real e sistema fiscal.
Que tipo de monarquia os conservadores apostaram entre 1800 e 1830?;Monarquia absolutista, em oposição ao capitalismo emergente.
Qual foi o impacto da aposta no absolutismo no desenvolvimento econômico do Brasil?;Resultou em atraso em relação à Europa e ao continente americano.
A partir de quando começou a construção de instituições compatíveis com o capitalismo no Brasil?;A partir de 1831, com o início da Regência.
"O que o texto define como ""tempo essencial perdido"" no Brasil?";O primeiro terço do século XIX, quando se tentou manter o absolutismo, retardando o avanço econômico.
Qual era a relação do Brasil com o capitalismo no início do século XIX?;O capitalismo já impunha suas leis e o Brasil estava atrasado, precisando correr atrás para se adequar.
Como Luís Joaquim Santos Marrocos descreveu o Rio de Janeiro em 1811?;"Comparou a cidade ao Sítio de Alfama ou Bairro Alto de Lisboa, nos seus distritos mais sujos e imundos, e disse que quem vinha de Lisboa ""desmaiava e esmorecia""."
Qual foi a primeira impressão dos portugueses ao chegarem ao Rio de Janeiro?;Ficaram chocados com o calor, os mosquitos e o aspecto provinciano e modesto da cidade.
Como era a divisão da cidade após a chegada da corte portuguesa?;O Rio parecia partido em dois: um lado para os colonos e outro para a corte real portuguesa.
Quais eram as principais freguesias que formavam o núcleo do Rio de Janeiro no início do século XIX?;Sé, Candelária, São José e Santa Rita.
Qual era o estado das ruas do Rio de Janeiro no início do século XIX?;Eram de terra batida, desniveladas, esburacadas, cheias de poças e detritos, muitas vezes fétidas.
O que havia de mais vistoso no Rio de Janeiro colonial?;O Largo do Carmo, com a igreja e o convento dos Carmelitas, a Casa da Câmara, a Cadeia e um chafariz executado por mestre Valentim.
"Quais instituições da metrópole foram transplantadas para o Rio como parte do ""projeto civilizatório""?";O Desembargo do Paço, o Conselho da Fazenda, a Junta de Comércio, entre outras.
Quais instituições culturais e científicas foram criadas no Rio de Janeiro após a chegada da corte?;A nova imprensa, o Jardim Botânico, o Banco do Brasil e o Museu Nacional.
Como viajantes estrangeiros, como John Luccock, descreviam os hábitos da população do Rio?;Criticavam a falta de higiene, como não escovar dentes, não tomar banho e jogar fezes pelas janelas, além da precariedade da estrutura urbana e das epidemias.
"Qual o significado do provérbio ""todo tradutor é um traidor"" no contexto do texto?";"Indica que o projeto de transformar o Rio numa ""Nova Lisboa"" nunca foi totalmente fiel à realidade, sofrendo adaptações e dificuldades locais."
;
Por que é importante desconfiar das memórias dos viajantes que descreveram o Brasil colonial?;Porque eles sempre têm um olhar externo que pode não compreender as particularidades locais, usando lentes europeias e conceitos da época.
Qual epidemia mencionada por Marrocos afetava o Rio de Janeiro?;"Uma epidemia de moléstias causada pelos ""vapores crassos e corruptos e humores pestíferos da negraria"", relacionada ao cemitério próximo ao Valongo."
Como Jacques Arago descreveu o mercado de escravos do Valongo?;"Como ""um bazar aberto a todo mundo, uma feira perpétua e permanente"", onde a ""mercadoria grita, implora, canta para chamar atenção""."
Qual era a visão comum dos estrangeiros sobre o Brasil colonial?;"Um lugar com ""falta"": falta de cultura, higiene e espaço, visto como uma metrópole invertida e inferior à Europa."
"Como foi o ""projeto civilizatório"" implantado pelo governo português no Rio de Janeiro?";Incluiu a instalação das principais instituições metropolitanas como o Desembargo do Paço, Conselho da Fazenda e Junta de Comércio.
Quem foi Elias Antônio Lopes e qual sua relação com a casa de campo em São Cristóvão?;"Um rico comerciante português que ""ofertou"" uma casa ao príncipe regente D. João, recebendo uma pensão vitalícia em troca."
"O que significava a placa ""P.R."" nas casas requisitadas pela corte?";"Originalmente ""Propriedade Real"", mas popularmente chamada de ""Ponha-se na Rua"" devido à requisição arbitrária das residências."
Como a população do Rio reagia à requisição de suas casas pela corte?;"Alguns simulavam obras demoradas para evitar expulsão; outros fingiam ignorar; criou-se ressentimento contra os ""toma-larguras""."
Quem foram os primeiros ministros do governo de D. João no Brasil?;D. Rodrigo de Souza Coutinho (Negócios Estrangeiros e Guerra), João Rodrigues de Sá e Menezes (Negócios da Marinha), e Fernando José de Portugal (assuntos internos).
Qual foi a crítica do jornal Correto Brasiliense sobre os três ministros?;Comparou-os a três relógios: um atrasado (Fernando Portugal), um parado (visconde de Anadia) e um sempre adiantado (Rodrigo).
Por que o número de funcionários aumentou nos escalões inferiores da administração?;Para acomodar os que vieram com o regente e que precisavam de sustento, o que emperrou a máquina administrativa.
Qual foi o plano administrativo de D. João para a nova sede do império no Brasil?;Criar a administração baseada no modelo de Lisboa, implantando segurança, polícia, justiça, fazenda e área militar rapidamente.
Qual código legal vigorava no Brasil e servia de base para a administração?;As Ordenações Filipinas, código legal português do século XVII.
Como foi o processo de implantação das instituições portuguesas no Brasil?;Um processo de sobreposição, fusão, adequação e inovação, transplantando instituições e adaptando-as à realidade local.
Qual era a situação do controle político de Portugal sobre sua máquina imperial no início do século XIX?;Portugal já não controlava mais de forma eficiente e coesa a máquina imperial, havendo certa descentralização política.
Qual tribunal superior do Império Português foi instalado na colônia brasileira?;A Casa da Suplicação, que absorveu o Tribunal de Relação local, tornando-se o grande tribunal da colônia.
Quais eram as principais ameaças políticas que o Brasil enfrentava no contexto de 1808?;As ideias iluministas e democráticas dos Estados Unidos e as revoluções nas colônias espanholas vizinhas, como as lideradas por Bolívar.
O que foi criada em 5 de abril de 1808 para manter a ordem pública na Corte e no Estado do Brasil?;A Intendência Geral de Polícia da Corte e do Estado do Brasil, com funções amplas de controle policial e civil.
Quais eram algumas das responsabilidades da Intendência Geral de Polícia?;Guarda da pessoa real, organização da guarda real, fiscalização de teatros, matrículas de veículos e embarcações, registro de estrangeiros, e perseguição a escravos fugitivos e opositores do governo.
Quais instituições financeiras foram transplantadas e adaptadas para o Brasil em 1808?;O Erário, o Conselho da Fazenda, a Alfândega, a Junta da Fazenda, a Intendência da Marinha e os Armazéns Reais.
Qual instituição financeira foi criada em 1808 para atender aos interesses do comércio no Brasil?;O Banco do Brasil.
Como foi alterado o nome da Real Junta do Comércio, Agricultura, Fábricas e Navegação na colônia?;Passou a ser chamada Junta do Comércio, Agricultura, Fábricas e Navegação do Brasil, sugerindo certa autonomia e presença da monarquia no novo território.
Qual foi a importância da criação da Impressão Régia em 13 de maio de 1808?;Permitiria publicar documentos oficiais, obras e materiais para divulgar a imagem da monarquia e consolidar o novo imaginário político da corte no Brasil.
Como a Impressão Régia funcionava em relação à censura?;A junta diretora da Impressão examinava tudo que se mandava publicar, impedindo materiais contrários ao governo, religião e bons costumes, instituindo a censura oficial.
Quantos documentos oficiais foram publicados pela Impressão Régia até 1822?;Foram publicados 1.427 documentos oficiais.
Que tipos de obras eram impressas pela Impressão Régia?;Brochuras, folhetos, sermões, prospectos, obras científicas e literárias, traduções, teatro, poesia, literatura infantil, entre outros.
Qual foi o primeiro periódico brasileiro e quando foi lançado?;A Gazeta do Rio de Janeiro, lançada em 10 de setembro de 1808.
Quem redigia a Gazeta do Rio de Janeiro e qual era seu conteúdo principal?;Era redigida pelo frade franciscano Tibúrcio José da Rocha, e publicava atos oficiais, notícias traduzidas, elogios à família real e matérias sobre a guerra na Europa.
Como a Gazeta do Rio de Janeiro retratava os franceses e a saída de D. João?;"Os franceses eram chamados de ""pragas que assolavam a Europa"" e a saída de D. João era vista como ""um plano sábio e abençoado""."
Qual era a crítica de Hipólito José da Costa Pereira Furtado à Gazeta do Rio de Janeiro?;Que gastava papel de boa qualidade para imprimir matéria ruim, que seria melhor usada para embrulhar manteiga.
Quem foi Hipólito José da Costa Pereira Furtado?;Brasileiro, diretor da junta da Imprensa Régia em Lisboa, perseguido pela Inquisição, preso de 1802 a 1804, fugiu para a Inglaterra e lançou o Correio Braziliense.
O que foi o Correio Braziliense e onde foi lançado?;Periódico mensal lançado em Londres, três meses antes da criação da Gazeta do Rio de Janeiro.
Como o Correio Braziliense circulava no Brasil?;Era proibido no Brasil, mas circulava clandestinamente pelas capitanias.
Quais outros jornais e revistas importantes surgiram no Brasil colonial e início do império?;Jornal Ideal d'Ouro do Brasil (Bahia), revistas As Variedades e Ensaios de Literatura, e o periódico O Patriota.
Quem dirigiu o periódico O Patriota e qual sua importância?;Manuel Ferreira de Araújo Guimarães, foi o primeiro veículo dedicado à divulgação das ciências e das letras no Brasil.
Qual papel tiveram jornais e panfletos durante o período do Brasil independente?;Cumpriram papel fundamental nos debates políticos, influenciando temas como a abdicação do imperador D. Pedro I.
Segundo Antonio Cândido, quais gêneros públicos ganharam maior ressonância no período da independência?;O jornalismo e a retórica.
Como era o conteúdo das manifestações impressas antes da chegada da corte?;Principalmente religioso e vagamente acadêmico.
Que mudança ocorreu no conteúdo da imprensa a partir da chegada da corte e durante o Primeiro Reinado?;A imprensa ganhou uma feição mais laica e evidentemente política.
Quem foi frei Caneca e qual sua contribuição política?;"Liberal arraigado, fez do Typhis Pernambucano (1823-1824) um exemplo de literatura revolucionária contra a tirania e a favor da ""dignidade patriótica""."
Qual era a posição política de Evaristo da Veiga?;Partidário da República, mas aceitou os Bragança para evitar movimentações populares, defendendo uma filosofia da moderação.
Que estilo literário prevalecia em Januário da Cunha Barbosa?;Poesia neoclássica preocupada com política e patriotismo, incluindo exaltação ao indigenismo romântico.
Quem destacou-se por exaltar a natureza brasileira nos relatos estrangeiros?;Theodore Taunay (Idílios brasileiros), Édouard Corbière (Élégies brésiliennes) e Ferdinand Denis (Scènes de la nature sous les tropiques).
Qual a importância da obra de Ferdinand Denis para a literatura brasileira?;Foi precursor do romantismo, exaltando a natureza e influenciando jovens brasileiros que moravam na França.
Como a literatura nacional começou a mudar após a Independência do Brasil?;Surgiu uma literatura mais autônoma, emancipada em temas e valores, buscando um cânone local em oposição à metrópole portuguesa.
Como o governo português reagiu às populações indígenas e africanas no Brasil?;"Tentou ""civilizá-los"", mas, diante de conflitos, ordenou guerra ofensiva contra os índios Botocudos antropófagos em Minas Gerais (1808)."
Que impressões negativas estrangeiros tinham sobre os hábitos dos negros no Brasil?;Estranhavam festas e danças, consideravam os batuques bárbaros e as línguas faladas dissonantes, causando medo e estranheza.
Como o medo de rebeliões negras influenciava as autoridades?;Havia receio constante devido a revoltas em outras colônias, levando a repressão e vigilância sobre práticas culturais e religiosas afro-brasileiras.
O que a criação da Câmara do Registro das Mercês e da Corporação de Armas indicava?;Tentativa de criar uma nobreza brasileira com títulos e heráldica para dar prestígio e continuidade à monarquia no Brasil.
Quantos títulos nobiliárquicos D. João concedeu até 1821?;254 títulos: 11 duques, 38 marqueses, 64 condes, 91 viscondes e 31 barões.
Qual foi a função das condecorações concedidas por D. João?;Semear a nobreza com símbolos europeus para legitimar a monarquia e garantir apoio político local.
"Quando foram definitivamente abertas as comportas para um ""bom banho de civilização"" no Brasil?";Após 1811, quando a colônia deveria mostrar-se apta a cumprir seu papel de sede da monarquia e cartão-postal do Império.
Qual foi a inspiração para a criação do Jardim Botânico no Rio de Janeiro?;O Jardim Botânico da família real localizado no Paço da Ajuda, em Portugal.
Quais eram algumas das plantas cultivadas no Jardim Botânico do Rio de Janeiro?;Cravo-da-índia, pimenta-do-reino, cana-caiana, cânfora, canela, noz-moscada, fruta-pão, lichia da China, mangueiras, jaqueiras, entre outras.
Que experiência começou em 1814 no Jardim Botânico?;A cultura do chá, com sementes importadas de Macau e a contratação de cerca de duzentos chineses para seu cultivo.
Quando o Jardim Botânico foi anexado ao Museu Nacional e aberto ao público?;Em 1819, com o nome de Real Jardim Botânico.
Qual a função da Escola Real de Ciências, Artes e Ofícios aberta em 1816?;Oferecer formação técnica e artística para a nova sede do Império.
Qual era o papel inicial do Museu Real criado em 1808?;"Estimular os estudos de botânica e zoologia, funcionando como um ""gabinete de curiosidades"" com peças diversas."
Quando a Real Biblioteca abriu ao público no Brasil?;Em 1814, após perder seu primeiro acervo na viagem de 1807.
Por que a Real Biblioteca era um símbolo importante para a monarquia?;Representava civilidade, tradição e antiguidade, com um acervo enciclopédico, incluindo documentos raros e obras proibidas em Portugal.
Como o cônsul-geral francês Lesseps referia-se a D. João no Brasil?;"Como ""roi du Brésil"" (rei do Brasil)."
Qual era a população aproximada do Rio de Janeiro após a chegada da corte?;Cresceu de cerca de 60 mil para 90 mil habitantes.
Como o viajante Luccock descreveu as casas da cidade do Rio de Janeiro?;Simples, com oratório, sofá de palhinha, algumas cadeiras, iluminação a lamparinas de óleo de baleia e balcões de treliça que permitiam observar a rua sem ser visto.
Como as ruas do Rio de Janeiro eram vistas por visitantes?;Barulhentas, sujas e cheias de imundície, semelhantes a outras capitais europeias, mas com tudo mais radicalizado.
Quais eram os elementos decorativos presentes apenas em poucas casas de proprietários abonados?;Serpentinas e candelabros com velas de cera.
Como era o cardápio gastronômico dessas casas abonadas?;Composto por oito a dez pratos, semelhante ao que se aprendia na metrópole.
Qual foi a reação de Charles Darwin ao provar a comida no Rio de Janeiro?;Tentou provar de tudo, mas ficou assustado ao ver chegar um peru e um porco assado.
Como era uma refeição normal para a maioria da população?;Mais frugal, com sopa, muitos legumes, carne-seca e feijão.
Qual alimento substituía o pão na alimentação comum?;A farinha de mandioca.
Quais eram as formas de consumo do milho entre os grupos sociais?;Assado, pipoca, farinha (fubá), canjica (doce) e jacuba (mistura de farinha de milho com rapadura e água).
Como era a alimentação da população escrava?;Uma vez ao dia, geralmente uma mistura rala de feijão e farinha.
Como era o comércio de gêneros alimentícios antes e depois da vinda da corte?;"Inicialmente pequeno; após a corte, aumentou com venda de pães, vinhos, presuntos, salames, doces, frutas, aguardentes e licores."
Que tipos de animais e frutas eram encontrados nos mercados, segundo Leithold?;Macacos, papagaios, abacaxis, bananas, mamões, laranjas e outras frutas tropicais.
Como a lenha era vendida no Brasil?;Pelas quitandas e carregada por escravos, diferente da Europa onde havia fornecedores especializados.
Qual bebida era consumida em grande quantidade e por que a água era misturada com álcool?;"Vinho, principalmente português; acreditava-se que água pura fazia mal, então misturava-se com vinho ou rum."
Quem era o cozinheiro de D. João e o que ajudou a criar sobre o príncipe?;"José Cruz Alvarenga; ajudou a criar a fama de glutão do príncipe regente."
Como D. João costumava se alimentar, segundo relatos?;Comia aves com as mãos, atirava ossos fora, limpava os dedos em guardanapos, comia pão torrado e mangas da Bahia.
"O que motivou D. João a usar uma ""cadeirinha"" para se locomover?";Picado por um carrapato, precisou usar banhos de mar e, por dificuldade de locomoção, passou a usar a cadeirinha carregada por escravos.
"O que simbolizava o uso da ""cadeirinha"" pela elite local?";Tornou-se um símbolo de status e passou a ser usada também pela elite.
Quais eram os meios de transporte usados para curtas distâncias fora da capital?;Carroças com cortinas puxadas por mulas, conduzidas por escravos a pé, e carros puxados por bois.
Que tipos de carruagens eram anunciadas na Gazeta do Rio de Janeiro?;Carros para um ou dois cavalos, carruagens com portas, de vidro, de cortinas, à Daumont, seges de várias rodas e traquitanas.
Como funcionava o aluguel de veículos e condutores?;"Havia cocheiras que alugavam seges asseadas e boas parelhas; também alugavam criados para conduzir com decência."
Como eram as comunicações na colônia?;"Difíceis; passaportes vistoriados, entradas e saídas dificultadas, correios lentos ou omissos."
Quais opções de diversão existiam no Rio de Janeiro?;O Passeio Público, touradas no Campo de Santana (raras e com público misto), e jardins cuidados.
Como era a reação do público às touradas, segundo Leithold?;Vaiavam o touro magro e desinteressado, e ridicularizavam os toureiros.
;
Qual foi o principal teatro do Brasil durante o período de 1813 a 1823?;O Real Teatro de São João, fundado em 1813.
Qual teatro existia em 1747 na Rua da Ópera e quem o fundou?;"A ""Casa da Ópera"", fundada por um padre chamado Ventura."
O que aconteceu com a primeira Casa da Ópera?;Foi destruída pelo fogo durante a apresentação da peça Encantos de Medeia.
Que tipo de companhias chegaram de Portugal para o Teatro São João?;Companhia de canto dirigida por Ruscollu e companhia de dança coordenada pelos Lacombe.
Quem foi a atriz célebre que esteve no Brasil e acompanhada por qual orquestra?;Mariana Torres, acompanhada pela orquestra de Marcos Portugal.
Quem foi Marcos Portugal e qual seu papel na música brasileira?;Músico da corte portuguesa que passou a residir no Brasil e implementou a música de concerto.
Qual era o papel do padre José Maurício na música da corte?;"Conhecido como ""o Mozart brasileiro"", pontificou em funções musicais sacras e profanas."
Como era o interior do Teatro São João nos dias de gala?;Revestido de sanefas de seda, grinaldas de flores, arandelas, lustres e cortinas de veludo com franjas de ouro na tribuna real.
Como era a plateia do teatro em termos de vestuário?;Fidalgos com comendas, damas com altos toucados entrelaçados com pérolas, pedras preciosas e penas coloridas.
Quantas pessoas os camarotes do Teatro São João acomodavam?;1.020 pessoas divididas em quatro ordens de camarotes.
Quais eventos políticos importantes ocorreram no Teatro São João?;"Em 1821, D. João VI sagraria a Constituição; em 1822, D. Pedro usou o palco para sua cena política."
Qual foi a formação do corpo de cantores da Capela Real em 1815?;Cinquenta cantores, entre estrangeiros e nacionais, com diferentes colorações de pele.
Quem era o príncipe regente amante da música e qual tipo musical ele preferia?;D. João, amante dos cantochões gregorianos.
Que papel teve a fazenda Santa Cruz na música erudita brasileira?;Formou artistas eruditos negros, muitos escravos, que tocavam instrumentos e cantavam em corais.
Como era a rotina dos escravos músicos na fazenda Santa Cruz?;Trabalhavam três dias para a fazenda, três dias nas próprias lavouras, e descansavam aos domingos.
Quem foi o maestro e regente que orientou os músicos escravos da fazenda Santa Cruz?;O padre José Maurício.
Quais instrumentos eram tocados pelos músicos da fazenda Santa Cruz?;Rabecas, violoncelos, clarinetas, rabecões, flautas, fagotes, trombones, trompas, pistons, requintas, bumbos, oficlides, flautins de ébano, bombardinos e bombardões.
Que tipos de músicas e eventos os músicos da fazenda Santa Cruz executavam?;Marchas militares e patrióticas, valsas, modinhas, quadrilhas, óperas.
Quem financiava as despesas musicais da Casa Real?;A Casa Real arcava com partituras, métodos, cadernos, instrumentos e peças.
Qual era a reação de D. João durante os espetáculos de gala no teatro?;"Às vezes adormecia e perguntava se ""já se casaram os patifes"" ao seu camareiro."
Qual costume musical D. Pedro manteve?;Incentivou seu filho Pedro a aderir à tradição dos escravos cantores da fazenda Santa Cruz.
Como eram os hábitos das mulheres da elite na colônia em relação à vida pública?;As mulheres pouco saíam ou se expunham, aparecendo principalmente à tardinha nas janelas ou balcões, cabeça descoberta e em posturas ociosas.
Como se vestiam os brasileiros e mulatos, segundo Leithold, mesmo com o calor?;"Usavam casacos pesados e felpudos, mulheres se cobriam com véus pretos; mulheres brasileiras e portuguesas vestiam sedas e tafetás; negras e mulatas usavam tecidos grossos e pretos."
Qual era a relação da moda nas cidades brasileiras em comparação com a Europa?;"Nas cidades brasileiras havia relativamente mais luxo; vestia-se segundo os últimos modelos de Paris, com homens usando casacos e meias de seda mesmo no calor."
Quais pequenos insetos e animais incomodavam os visitantes europeus na colônia?;Mosquitos, ratos, camundongos, baratas, bichos que entravam nos dedos e cães que latiam à noite.
Qual era a característica da população negra no Rio de Janeiro em 1821?;"Havia uma clara maioria numérica de negros, com a escravidão em toda parte e uma concentração tão grande que parte da cidade ficou conhecida como ""Pequena África""."
Qual a frase do jesuíta Antonil sobre os escravos?;"Escravos eram as ""mãos e os pés do senhor de engenho"", responsáveis por todo o trabalho."
Quais funções os escravos exerciam na cidade?;Eram barbeiros, vendedores de frutas, vendedores de angu, capim e sapé, quituteiras, carregadores, meninos de recado, jornaleiros, cata piolhos, marceneiros, negros de ganho, entre outros.
"O que eram os ""negros de ganho""?";Escravos que prestavam serviços braçais para terceiros e eram regulados por um capataz designado pela Câmara.
Quantos escravos havia na corte por volta de 1820?;Cerca de 38 mil escravos em uma população total de aproximadamente 90 mil habitantes.
Como era a política para equilibrar a população negra com a branca?;Vinham casais dos Açores com mesadas, moradias, ferramentas e outros recursos para incentivar a povoação branca.
Como D. Pedro I tratou da continuidade do fornecimento de escravos?;Negociou com reinos africanos envolvidos no tráfico humano para garantir a continuidade da escravaria.
