O que motivou a imigração europeia para o Brasil após 1888?;A abolição da escravidão e a necessidade de substituir a mão de obra no café.
Qual o conteúdo e peso da moeda de 2 mil-réis de 1928?;50% prata, 7,9 gramas, refletindo a perda de valor do mil-réis após a Primeira Guerra Mundial, emissão de 1,25 milhão de peças.
O que simbolizava a cédula de 30 mil-réis do Banco da República do Brasil (1893)?;"Alegoria do comércio e indústria; banco resultou da fusão do Banco da República dos EUA do Brasil com o Banco do Brasil e foi único emissor até 1896."
Qual era a função da cédula de 100 mil-réis da Caixa de Conversão (1906)?;"Estabelecer o padrão-ouro, lastreando bilhetes em moedas de ouro brasileiras ou estrangeiras; atividade emissora encerrada em 1913."
O que representava a cédula de 2 mil-réis de 1923 do Tesouro Nacional?;Retrato de Joaquim Murtinho, ministro da Fazenda no governo de Campos Sales.
O que representava a cédula de 20 mil-réis de 1925 do Banco do Brasil?;"Retrato de Arthur Bernardes, presidente (1922-1926), governo sob estado de sítio; verso com palácio Monroe."
Qual a função da cédula provisória de 10 mil-réis da Caixa de Conversão (1926)?;"Marcar o retorno ao padrão-ouro; promessa de pagamento em ouro no Rio de Janeiro conforme Lei 5.108 de 18/12/1926; retrato de Campos Sales."
Qual era o maior desafio para a cultura brasileira entre 1889 e 1930?;Lidar com dimensões continentais, alto índice de analfabetismo (~80%) e legado escravista, dificultando o acesso da população à cultura letrada.
Como a população rural e os ex-escravos eram afetados culturalmente?;Permaneciam nos rincões distantes, com poucas oportunidades de participar dos circuitos culturais devido ao trabalho e exclusão social.
Qual era a percepção da elite intelectual ao início da República?;Via a República como oportunidade histórica de modernizar o país, alinhando-o aos padrões europeus de desenvolvimento cultural e social.
Que influência teve a belle époque europeia na cultura brasileira?;Inspirou a elite intelectual, trazendo ideais de modernização, cosmopolitismo, liberalismo e progresso, funcionando como modelo cultural a ser seguido.
Como os intelectuais brasileiros lidavam com as ideias europeias?;Misturavam concepções como positivismo, cientificismo, darwinismo social, evolucionismo e spencerianismo, adaptando-as às circunstâncias locais.
Qual era a visão dos intelectuais sobre seu papel na sociedade?;Sentiam-se missionários culturais, responsáveis por transformar o Brasil arcaico em uma nação liberal, moderna e progressista.
Como Sérgio Buarque de Holanda descreveu a atitude dos intelectuais republicanos?;Destacou a confiança deles no triunfo final das novas ideias, acreditando que o mundo acabaria por aceitá-las irrevogavelmente.
Quem eram os “mosqueteiros intelectuais”?;Núcleo de escritores do Rio de Janeiro que se consideravam paladinos das novas ideias, com certo humor e orgulho intelectual.
Qual era a base do lastro cultural trazido pelos intelectuais?;Ideias europeias do fin-de-siècle, influenciadas pelo determinismo biológico, positivismo e outras correntes científicas e sociais.
Qual era o paradoxo da cultura republicana inicial no Brasil?;Ambição de modernização e erudição em um país com infraestrutura urbana precária e população majoritariamente analfabeta.
Como a República mostrou sua verdadeira face após os primeiros anos?;Apesar de republicanismo formal, manteve-se oligárquica, conservadora na prática e liberal apenas em aspectos superficiais, como vestuário.
Qual foi a desilusão dos intelectuais com a República?;Esperavam transformações profundas, mas acabaram marginalizados politicamente e sem apoio da população, devido ao alto analfabetismo.
Onde os intelectuais brasileiros encontravam emprego?;Principalmente no magistério, profissões liberais e funções públicas, mantendo vínculos com a burocracia estatal.
Qual o papel do barão do Rio Branco na cultura brasileira?;Atuou como chanceler e mecenas, trazendo intelectuais para o Ministério das Relações Exteriores e apoiando seu desenvolvimento.
Qual era o epicentro cultural da Primeira República?;O Rio de Janeiro, que concentrava intelectuais de várias regiões e influenciava o desenvolvimento cultural do país.
Que inovação marcou a difusão cultural na República?;O surgimento do novo jornalismo, ampliando o alcance do campo cultural e tornando a informação mais acessível e crítica.
Quais foram algumas das principais revistas da primeira década do século XX?;Revista da Semana (1900), O Malho (1902), Kosmos (1904), Fon-Fon (1907), Careta (1908).
Como a imprensa moderna se caracterizou?;Jornal leve e barato, com ilustrações, fotografia, caricaturas, alcançando públicos diversos, incluindo feminino e infantil.
Qual a importância do jornalismo para escritores da época?;Permitia divulgação e leitura de suas obras, funcionando como principal meio de comunicação com o público, mais acessível que livros.
Como Júlia Lopes de Almeida via o jornalismo?;Como fundamental para a literatura brasileira, criando profissão, aprimorando a língua e formando os melhores prosadores do país.
Quantos leitores potenciais havia no Rio de Janeiro?;Aproximadamente metade da população urbana, mais de 400 mil pessoas, considerando o acesso à imprensa.
Como a população mais pobre interagia com a literatura?;Principalmente através dos jornais, como demonstrado na carta de um presidiário solicitando obras de Coelho Neto.
Por que os leitores só pediam livros aos escritores via jornal?;Porque conheciam os autores através de suas crônicas publicadas, já que o alto preço dos livros e o analfabetismo dificultavam o acesso à literatura.
Quais tipos de livros eram lidos na época?;Romances, manuais práticos (higiene, remédios caseiros, criação de animais), livros infantis e folhetins publicados em jornais.
Quanto custavam os livros populares e qual era o impacto desse preço?;Variavam entre 100 e 1000 réis, equivalendo a até um terço do ganho diário de um trabalhador, limitando o acesso mesmo da população letrada.
O que eram os folhetins e qual era sua função?;Romances publicados em capítulos semanais nos jornais, permitindo maior difusão literária antes da publicação em livro.
Quando o interesse pelos folhetins começou a diminuir?;Pouco antes da Primeira Guerra Mundial, quando notícias policiais passaram a ganhar preferência do público.
Quais tipos de romances eram populares entre adultos?;"""Romances de sensação"" com dramas e crimes, e ""romances para homens"" com temas obscenos, adultério e escândalos, frequentemente traduzidos de Portugal."
Como funcionava a educação infantil no período?;"Jardins de infância raros; curso primário de 3-4 anos com leitura, escrita, língua pátria, geografia, história, ciências naturais, instrução moral e ginástica; secundário com línguas estrangeiras."
Qual foi a principal mudança da educação republicana em relação ao Império?;Laicização do currículo, eliminando disciplinas religiosas como História Sagrada e Doutrina Cristã.
Como eram aplicados os métodos de ensino?;Predominantemente repetições em voz alta e disciplina rigorosa, substituindo gradualmente castigos físicos pela formação do caráter.
O que eram as cartilhas e como eram usadas?;Primeiros livros de alfabetização, com frases simples e repetitivas, usadas para ensinar leitura em voz alta às crianças.
Qual o papel da literatura infantil no período?;Criar novos leitores e servir como projeto cívico educacional, com obras de autores como Coelho Neto, Olavo Bilac e Júlia Lopes de Almeida.
Quem foi Abílio César Borges e sua contribuição à educação?;Educador e criador de cartilhas, fundou escolas na Bahia, Minas Gerais e no Rio de Janeiro, influenciando a educação e inspirando obras literárias como O Ateneu.
Quais eram os dois grupos de escritores na Primeira República?;Escritores de “casaca” (elegantes, ufanistas) e de “paletó-saco e chapéu mole” (críticos, realistas).
O que Lima Barreto chamou de “bovarysmo republicano”?;"A fé incondicional na palavra ""república"" como solução de todos os problemas do país, sem considerar a realidade social."
Como se manifestava a expressão ufanista na arte?;Criando imagens idealizadas do país, como o painel de Pedro Américo, reforçando ordem e progresso e apagando conflitos sociais.
Qual foi a contribuição de artistas como Eliseu Visconti e Almeida Júnior?;Adotaram um naturalismo difuso, retratando temas regionais e nacionais, rompendo com o academicismo neoclássico parisiense.
Qual função tinham as caricaturas na época?;Permitiam uma leitura rápida e crítica da República, despojando a arte acadêmica de ornamentações, como fizeram J. Carlos e Emiliano Di Cavalcanti.
Que visão predominava nas obras críticas da época?;Retratavam contrastes sociais, miséria, indiferença das elites, exclusão e hipocrisia da República, evidenciando a realidade brasileira.
Quem eram os escritores mais notáveis do olhar crítico?;Machado de Assis, Euclides da Cunha, Lima Barreto e João do Rio.
Qual experiência transformou Euclides da Cunha e sua visão do Brasil?;A campanha de Canudos (1893-1897), que revelou a ignorância do Estado sobre o sertão e as populações locais.
Que elementos marcaram a obra de Euclides da Cunha?;Detalhamento da paisagem natural, estudo das populações do sertão, denúncia da indiferença estatal e crítica à modernidade republicana.
Quem eram os “sertanistas” ou regionalistas?;Escritores e ensaístas como Alberto Rangel, Hugo de Carvalho Ramos, Domício da Gama, Matheus de Albuquerque, que exploravam contrastes regionais e sociais do país.
Que eventos da Primeira República inspiraram a literatura crítica?;Canudos (1896-1897), Contestado (1912-1916), Revolta da Chibata (1910), construção da ferrovia Madeira-Mamoré (1907-1912).
Como a literatura crítica se relacionava com a modernidade republicana?;Denunciava que a modernidade era uma projeção das elites, distante das necessidades reais da população rural e marginalizada.
Qual foi a grande vitrine da modernização do Brasil na Primeira República?;A reforma urbana do Rio de Janeiro, destacando-se a inauguração da Avenida Central em 1904.
Como era o ambiente da nova Avenida Central?;Cosmopolita, inspirado nos bulevares europeus, com fachadas de mármore e cristal e iluminação elétrica art nouveau.
Qual foi a conclusão de Mendes Fradique sobre o humor no Brasil?;Que o humor era impossível porque a realidade já era tão absurda que não permitia contraste entre o que é e o que deveria ser.
Como Machado de Assis lidava com o humor?;Usava humor contido, pseudônimos literários e trocadilhos ocasionais para revelar a ironia e absurdos da sociedade brasileira.
Por que Machado desprezava humoristas plebeus da época?;Pelo caráter boêmio, satírico e desleixado desses humoristas, que contrastava com sua postura mais reservada e formal.
Como Machado abordava a realidade brasileira em suas crônicas?;Desfamiliarizando situações cotidianas, mostrando o absurdo do cotidiano e a ética emotiva nas interações sociais.
O que caracteriza o humor machadiano?;Distanciamento cético, crítica à hipocrisia social, sátira das convenções e observação minuciosa do comportamento humano.
Qual era a função dos cordéis no Norte e Nordeste?;Preservar e transmitir a literatura popular, narrando frustrações sociais, secas e indiferença do Estado, misturando oralidade e escrita.
Quem foi Leandro Gomes de Barros?;Poeta popular paraibano, autor de folhetins e cordéis, que registrou críticas à República e à miséria social.
Que tipos de música e dança predominavam nas ruas?;Serenatas, toadas de violão, modinhas e o maxixe, refletindo a cultura popular urbana e periférica.
Como era o maxixe e sua coreografia?;"Música com predominância rítmica e dança paródica de formas europeias e africanas; passos complexos e movimentos de avanço e retrocesso."
Qual era a diferença entre serenata e choro, segundo Luís Edmundo?;"Serenata envolvia a voz humana na melodia; choro era instrumental, sem voz humana, criando música apenas com instrumentos."
Qual a origem do maxixe?;Derivava diretamente do lundu, dança africana popular entre escravos, com clímax na “umbigada” entre os casais.
Como a elite brasileira reagia ao maxixe?;"Considerava indecoroso e banido dos lares; perseguido nas ruas pela polícia, mas praticado discretamente nas casas."
Quem registrou o preconceito contra o maxixe e como?;Bastos Tigre, em 1906, descrevendo-o como “fruto proibido saboreado à socapa” nas residências.
Como o maxixe influenciou a música brasileira?;Inspirou compositores como Ernesto Nazareth e Chiquinha Gonzaga, que mesclaram ritmos populares com música europeia.
O que foi o teatro de revista?;Gênero teatral de entretenimento leve, combinando música, dança, poesia e humor, descendente de operetas e vaudeville europeus.
"Como funcionava a adaptação do cinema e revista em ""Paz e amor""?";"Filmavam cenas com vozes e canções da revista; artistas repetiam as falas ao vivo atrás da tela, sincronizados com a filmagem."
Quem foi Zeca do Patrocínio e qual seu papel?;Humorista e revistógrafo, autor do roteiro de “Paz e amor” sob o pseudônimo Antonio Simples, adaptando teatro e cinema.
"Qual a importância do espetáculo ""Paz e amor"" em 1910?";Primeiro filme-revista com sincronização de vozes e imagens, sucesso de público e marco da modernidade cultural brasileira.
"Como o enredo de ""Paz e amor"" satirizava figuras e política?";Usava personagens e nomes invertidos para ridicularizar políticos e jornalistas, como coronel Tibúrcio (Nilo Peçanha) e Mossiu Baboseira (Múcio Teixeira).
Qual era o contraste presente no espetáculo?;Cenário urbano europeu e comportamento elegante dos personagens versus a realidade brasileira persistente e desigual.
Quem sintetizou o fim da belle époque no Rio de Janeiro?;Agripino Grieco, ao comentar mudanças urbanas e culturais com ironia, citando ruas estreitas, bondes de burro e piadas de Emílio de Menezes.
Quais transformações urbanas marcaram o fim da belle époque no Rio?;Substituição de ruas estreitas por grandes avenidas, bondes de burro por elétricos, “casas de pasto” por restaurantes.
Como Machado de Assis registrava as mudanças na cidade?;Observava a alegria do homem comum diante da eletricidade e a distância entre o país idealizado pela cultura e a realidade social.
O que caracterizou a entrada do Brasil na sociedade cosmopolita?;Adoção de modismos europeus, reformas urbanas, grande bulevares, etiqueta e cenografia inspiradas na belle époque europeia.
Quais práticas populares foram restringidas pelas reformas?;"Cortiços, quiosques, cafés-cantantes, blocos de Carnaval, batuques e pastorinhas; banhos de mar regulamentados; fantasias de índio proibidas."
Como a música popular se relacionava com as proibições?;Canções consideradas ufanistas ou populares continuavam a circular discretamente, em chopes e gravações fonográficas, mesmo quando proibidas.
Qual o impacto da Primeira Guerra Mundial na cultura brasileira?;Evidenciou o isolamento do país, reforçou percepção de atraso e subalternidade, e instigou reflexões sobre a necessidade de novas visões culturais.
Como o modernismo brasileiro surgiu?;Na década de 1920, com ruptura da tradição, Semana de Arte Moderna (1922), busca de descontinuidade e fusão entre razão e instinto na arte.
Quais influências estéticas marcaram o modernismo?;"Futurismo, dadaísmo, surrealismo, expressionismo; valorização da velocidade, técnica, ação e novas formas de percepção da realidade."
Qual era o desafio central do modernismo?;Romper com o passado e criar novos códigos estéticos, conciliando racionalidade e emoção, objetividade e subjetividade.
Qual era o objetivo central do modernismo no Brasil?;Romper com a tradição, condenar a estética passadista e buscar novos procedimentos cognitivos para compreender o país e construir a modernidade.
Quais os dois caminhos do modernismo brasileiro pós-1922?;"1) Atualização imediata da inteligência artística pela adoção de procedimentos modernos europeus; 2) Mediação via identidade nacional, buscando a singularidade e especificidade do Brasil."
O que significava o primeiro caminho modernista?;Adoção direta da estética de vanguarda europeia, valorizando velocidade, simultaneísmo, futurismo e o mito do Brasil como “país novo”.
O que significava o segundo caminho modernista?;Descobrir a identidade própria do Brasil, valorizando a cultura nacional e reinventando a história para integrá-la ao concerto internacional.
Qual frase famosa de Mário de Andrade sintetiza a segunda perspectiva?;"""Precisamos ser nacionais, para que possamos ser universais."""
Como se caracterizou o “segundo tempo modernista” a partir de 1924?;Produção cultural rica, intensa busca de compreensão do Brasil, rejeição de teorias deterministas e análise da brasilidade em suas múltiplas dimensões.
Quem se destacou na reinvenção da história brasileira?;Paulo Prado, Guilherme de Almeida, Gilberto Freyre, Sérgio Buarque de Holanda, Villa-Lobos, Victor Brecheret, Cândido Portinari, Murilo Mendes, Humberto Mauro e Mário de Andrade.
Qual polêmica surgiu sobre o regionalismo?;Debate sobre se o regionalismo era obstáculo à modernização ou catalisador da verdadeira identidade brasileira.
Qual a diferença entre “verde-amarelistas” e outros modernistas?;"Verde-amarelistas valorizavam São Paulo como cerne da nacionalidade e criavam mitos; outros buscavam análise cultural ampla, incluindo mestiçagem e diversidade cultural."
Como Mário de Andrade via a tradição cultural brasileira?;Como uma “tradição móvel”, atualizando manifestações populares no presente, resgatando a brasilidade do mito e inserindo-a no fluxo histórico.
Qual o papel de Sérgio Buarque de Holanda na reinvenção da história?;Conhecer e definir as raízes profundas do Brasil para reinterpretá-las e preparar a construção de um futuro cultural.
Qual era o enfoque dos verde-amarelistas no modernismo?;Reinterpretação mítica do espaço e da geografia, valorizando a intuição e a imaginação sobre a análise racional, criando mitos de brasilidade.
Como Plínio Salgado definia a brasilidade em 1927?;Mais pela reinvenção poética da geografia do que pelo estudo histórico, compreendendo a pátria como síntese espacial no presente.
Como a obra de Portinari se relaciona com a brasilidade?;Retoma o figurativismo e o povo brasileiro, buscando síntese entre o plástico e o abstrato, partindo da natureza para encontrar o Brasil.
Qual papel do humor na reinvenção da história modernista?;Desmontar narrativas históricas, satirizar documentos e heróis, e buscar o fundo mais autêntico da história brasileira.
Exemplos de paródia modernista em literatura?;Poemas telegráficos de Oswald de Andrade e o poema-piada “Prefácio de Pinzón” de Murilo Mendes, que reinterpreta a descoberta do Brasil.
Qual era o dilema dos escritores modernistas quanto ao público leitor?;A produção literária era restrita às elites e pouco consumida pelo público geral, tornando a atividade heroica mas socialmente limitada.
Como se manifestava a cultura popular na modernidade?;Seguia seus próprios caminhos, incorporando modernidade à rotina popular por meio de música, discos gravados e filmes mudos.
Qual a importância da canção “Pelo telefone”?;Primeiro samba urbano gravado, reunindo elementos folclóricos de diversas regiões do país, adaptando a cultura popular à modernidade urbana.
Quem ajudou a consolidar o samba como ritmo urbano?;"Artistas do Estácio, como Ismael Silva, transformaram o jongo e batucadas regionais em um ""samba de sambar"" com cadência marcada."
Como a gravação discográfica afetou o samba?;Eliminou elementos coreográficos, religiosos e sociais, transformando-o em referência a uma modalidade musical de canção.
Qual foi uma das singularidades da cultura brasileira no período modernista?;A passagem de uma cultura predominantemente oral para uma cultura marcada pelos modernos meios da indústria cultural.
Como J. Martins definiu a música brasileira?;Como música baseada no ritmo, voltada para a dança, o instinto e a fantasia, e não para o texto ou a palavra.
Qual relação entre ritmo e cultura popular no Brasil?;Ritmo predominante nas expressões populares, presente na música, dança, esportes e cotidiano, refletindo mobilidade, improviso e instinto.
Como o futebol se tornou parte da cultura popular?;Introduzido pelas elites, passou a ser jogado em várzeas e terrenos baldios após a guerra, com jovens incorporando improviso e ritmo, inspirados por Arthur Friedenreich.
Por que Friedenreich é comparado a um sambista?;Porque utilizava drible, improviso e ritmo, recursos já familiares à cultura popular brasileira, ao invés de força física ou velocidade.
Qual é a importância de Macunaíma para a cultura brasileira?;Síntese catalisadora do modernismo, busca compreender o Brasil, rejeitando explicações deterministas e incorporando ritmos e imagens culturais diversas.
De onde Mário de Andrade colheu inspiração para Macunaíma?;Da etnografia, como o Makunaima das tribos venezuelanas registrado por Koch-Grünberg, além de fontes folclóricas e populares brasileiras.
Como Macunaíma trata o tempo e o espaço?;Coloca o tempo entre parênteses e dilui-o no espaço, transformando deslocamentos espaciais em deslocamentos temporais, refletindo mobilidade e desenraizamento.
Qual é a vocação narrativa de Macunaíma?;Fragmentada e rapsódica, baseada em oralidade, provérbios, frases feitas e episódios breves que refletem mobilidade, instabilidade e identidade nacional fluida.
Como a obra de Macunaíma deve ser lida segundo Borges e Mário de Andrade?;Como um clássico com “prévio fervor e misteriosa lealdade”, servindo de espelho para a cultura brasileira e não apenas como lição.
