A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
O desemprego sazonal é frequentemente causado por mudanças na demanda por produtos e serviços de acordo com a estação do ano.;✅ Certo. O desemprego sazonal ocorre devido à variação na demanda de trabalho ao longo das estações, como na agricultura e turismo.
A taxa de desemprego é calculada dividindo o número de pessoas desempregadas pela população total.;❌ Errado. A taxa de desemprego é calculada dividindo o número de pessoas desempregadas pela força de trabalho ativa, não pela população total.
A taxa de desemprego não leva em consideração as pessoas que desistiram de procurar emprego.;✅ Certo. A taxa de desemprego só conta as pessoas que estão ativamente procurando trabalho e não aquelas que desistiram de procurar.
O desemprego estrutural pode ser causado pela introdução de novas tecnologias que não se alinham com as habilidades dos trabalhadores.;✅ Certo. O desemprego estrutural pode ocorrer quando as mudanças tecnológicas tornam obsoletas as habilidades dos trabalhadores, que não se adaptam às novas demandas.
A melhoria da educação e qualificação da força de trabalho pode reduzir o desemprego estrutural.;✅ Certo. A qualificação ajuda os trabalhadores a se adaptarem às mudanças no mercado de trabalho, reduzindo o desemprego estrutural.
O desemprego cíclico tende a aumentar quando a economia está crescendo rapidamente.;❌ Errado. O desemprego cíclico tende a aumentar durante recessões econômicas, quando a demanda por produtos e serviços diminui.
O desemprego sazonal é um tipo de desemprego causado pela falta de mão-de-obra qualificada.;❌ Errado. O desemprego sazonal é causado por flutuações na demanda por trabalho em diferentes épocas do ano, não pela falta de qualificação.
A taxa de emprego é mais alta em economias com uma maior taxa de crescimento econômico.;✅ Certo. Quando a economia cresce, as empresas tendem a contratar mais trabalhadores, aumentando a taxa de emprego.
O desemprego friccional é sempre longo, pois os trabalhadores demoram a encontrar novos empregos.;❌ Errado. O desemprego friccional é temporário e ocorre enquanto as pessoas estão procurando novas oportunidades de trabalho.
O desemprego estrutural pode ser mitigado por políticas de reconversão e qualificação profissional.;✅ Certo. Políticas de reconversão e qualificação podem ajudar os trabalhadores a se adaptar a novas exigências do mercado de trabalho.
Lei de Okun estabelece uma relação direta entre o desemprego e o crescimento do PIB.;✅ Certo. A Lei de Okun afirma que, quando o desemprego aumenta, o crescimento do PIB tende a diminuir.
A Lei de Okun sugere que, para cada ponto percentual de aumento no desemprego, o PIB crescerá 1% a menos.;❌ Errado. A Lei de Okun sugere que o PIB crescerá 0,5% a menos para cada ponto percentual de aumento no desemprego, e não 1%.
A Lei de Okun é uma ferramenta útil para prever o impacto das flutuações no desemprego sobre o crescimento econômico.;✅ Certo. A Lei de Okun ajuda os formuladores de políticas econômicas a entenderem o impacto do desemprego no crescimento da economia.
O comércio internacional envolve a troca de bens e serviços entre países, visando beneficiar as economias envolvidas.;✅ Certo. O comércio internacional busca aproveitar as vantagens comparativas de cada país para beneficiar as economias envolvidas.
A teoria das vantagens absolutas, de Adam Smith, sugere que os países devem se especializar em produtos nos quais tenham uma vantagem comparativa.;❌ Errado. A teoria das vantagens absolutas de Adam Smith sugere que os países devem se especializar na produção de bens que conseguem produzir com menos recursos que outros.
A teoria das vantagens comparativas de David Ricardo afirma que países devem se especializar na produção de bens nos quais tenham o menor custo de oportunidade.;✅ Certo. A teoria de Ricardo diz que os países devem se especializar em bens com o menor custo de oportunidade para maximizar os benefícios do comércio.
Mesmo que um país não tenha uma vantagem absoluta, ele ainda pode se beneficiar do comércio com base na vantagem comparativa.;✅ Certo. A vantagem comparativa permite que países se beneficiem do comércio mesmo sem vantagem absoluta em nenhum produto.
O modelo Heckscher-Ohlin sugere que os países exportam bens que utilizam intensivamente seus fatores escassos.;❌ Errado. O modelo Heckscher-Ohlin sugere que os países exportam bens que utilizam intensivamente os fatores abundantes, não os escassos.
A teoria das economias de escala sugere que, à medida que a produção aumenta, os custos unitários diminuem, tornando os produtos mais competitivos no comércio internacional.;✅ Certo. As economias de escala explicam que maiores quantidades de produção reduzem os custos unitários, aumentando a competitividade.
A teoria da concorrência perfeita é um conceito central nas teorias contemporâneas do comércio internacional.;❌ Errado. A teoria da concorrência imperfeita, e não a perfeita, é mais relevante nas teorias contemporâneas do comércio internacional, pois considera mercados monopolistas e oligopolistas.
O modelo Heckscher-Ohlin é uma teoria neoclássica que relaciona a dotação de fatores com o comércio internacional.;✅ Certo. O modelo Heckscher-Ohlin é uma teoria neoclássica que afirma que os países se especializam em bens para os quais possuem fatores abundantes.
As economias de escala são irrelevantes para a competitividade no comércio internacional.;❌ Errado. As economias de escala são muito relevantes, pois permitem que empresas produzam grandes quantidades, reduzam custos e se tornem mais competitivas.
A concorrência imperfeita pode afetar o comércio internacional, pois empresas com poder de mercado podem influenciar os preços.;✅ Certo. Em mercados monopolistas ou oligopolistas, empresas com poder de mercado podem afetar as condições do comércio internacional.
De acordo com a Lei de Okun, se a taxa de desemprego aumentar em 1%, o PIB crescerá 0,5% a mais.;❌ Errado. A Lei de Okun indica que, com o aumento de 1% no desemprego, o PIB crescerá 0,5% a menos, não mais.
A teoria das vantagens absolutas de Smith diz que os países devem se especializar em bens que produzem com mais eficiência.;✅ Certo. A teoria das vantagens absolutas sugere que países devem se especializar nos bens que conseguem produzir com mais eficiência.
A teoria das vantagens comparativas é mais eficaz quando os países têm vantagens absolutas em vários produtos.;❌ Errado. A teoria das vantagens comparativas funciona melhor mesmo quando os países não têm vantagens absolutas em todos os produtos.
A especialização de países no comércio internacional, segundo David Ricardo, ocorre com base em suas vantagens absolutas.;❌ Errado. A especialização ocorre com base na vantagem comparativa, não absoluta, segundo Ricardo.
O comércio internacional pode ocorrer mesmo que um país tenha desvantagens absolutas em todos os bens.;✅ Certo. Mesmo sem vantagem absoluta, um país pode se especializar na produção de bens nos quais possui menor custo de oportunidade (vantagem comparativa).
A Lei de Okun mostra uma relação entre o desemprego e o crescimento do PIB, onde o aumento do desemprego causa uma desaceleração na economia.;✅ Certo. A Lei de Okun descreve que o aumento do desemprego tende a diminuir a taxa de crescimento do PIB.
As teorias neoclássicas do comércio se baseiam nas vantagens comparativas e no modelo de oferta e demanda.;✅ Certo. As teorias neoclássicas expandem a teoria das vantagens comparativas e focam na dotação de fatores e oferta e demanda.
A teoria das economias de escala sugere que empresas devem reduzir a produção para manter a competitividade.;❌ Errado. A teoria das economias de escala sugere o aumento da produção para reduzir os custos unitários e aumentar a competitividade.
A concorrência perfeita é o modelo mais adequado para explicar o comércio internacional nas teorias contemporâneas.;❌ Errado. A concorrência imperfeita, com mercados monopolistas ou oligopolistas, é mais relevante nas teorias contemporâneas do comércio.
O modelo Heckscher-Ohlin explica que os países exportam bens que utilizam intensivamente os fatores escassos, como mão de obra.;❌ Errado. O modelo Heckscher-Ohlin diz que os países exportam bens que utilizam intensivamente fatores abundantes, como capital ou trabalho, dependendo do país.
A teoria das vantagens comparativas de Ricardo é baseada na ideia de custo de oportunidade.;✅ Certo. Ricardo defende que os países devem se especializar em bens onde têm o menor custo de oportunidade.
A teoria das vantagens absolutas sugere que o comércio internacional não é vantajoso quando um país é mais eficiente em tudo.;❌ Errado. A teoria das vantagens absolutas sugere que o comércio é vantajoso quando um país tem eficiência em alguma produção, mesmo que não seja em todas.
A Lei de Okun é mais relevante em períodos de estabilidade econômica, pois mostra como o desemprego afeta o crescimento.;❌ Errado. A Lei de Okun é mais relevante em períodos de flutuação econômica, ajudando a prever o impacto do desemprego
O comércio intrafirma refere-se ao comércio entre diferentes empresas de um mesmo setor.;❌ Errado. Comércio intrafirma refere-se ao comércio de bens e serviços entre diferentes filiais de uma mesma empresa multinacional.
O comércio intrassetorial envolve exportações e importações de produtos semelhantes entre países.;✅ Certo. O comércio intrassetorial ocorre dentro do mesmo setor, com países exportando produtos semelhantes, mas diferenciados.
O comércio intrafirma não envolve a troca de bens intermediários entre filiais da mesma empresa.;❌ Errado. O comércio intrafirma geralmente envolve a troca de bens intermediários, como componentes, entre filiais de uma multinacional.
Economias de escala sugerem que a produção em maior escala leva a custos unitários mais elevados.;❌ Errado. As economias de escala sugerem que a produção em maior escala reduz os custos unitários, aumentando a competitividade.
Empresas que operam em mercados monopolistas ou oligopolistas podem influenciar o comércio internacional.;✅ Certo. Empresas em mercados com monopólios ou oligopólios podem controlar preços e produção, afetando o comércio internacional.
A teoria das economias de escala diz que, ao aumentar a produção, os custos unitários aumentam.;❌ Errado. A teoria das economias de escala afirma que os custos unitários diminuem à medida que a produção aumenta.
O comércio intrassetorial é comum em setores onde as empresas competem com produtos semelhantes, mas com características diferenciadas.;✅ Certo. O comércio intrassetorial ocorre quando países exportam produtos semelhantes com características distintas, como carros com diferentes designs e recursos.
O comércio intrafirma não envolve a troca de produtos entre filiais de uma empresa multinacional.;❌ Errado. O comércio intrafirma envolve a troca de produtos e componentes entre diferentes filiais de uma mesma empresa multinacional.
O comércio intrassetorial é mais comum em setores onde há pouca diferenciação de produtos.;❌ Errado. O comércio intrassetorial é mais comum em setores com produtos diferenciados, onde empresas competem por nichos de mercado diferentes.
O aumento da produção leva as empresas a se tornarem menos competitivas, segundo a teoria das economias de escala.;❌ Errado. A teoria das economias de escala sugere que o aumento da produção torna as empresas mais competitivas, reduzindo seus custos unitários.
O comércio intrafirma pode envolver bens intermediários, como componentes, entre diferentes filiais de uma mesma empresa.;✅ Certo. O comércio intrafirma envolve a troca de bens intermediários entre filiais de uma multinacional para produção de um produto final.
A crítica de Raúl Prebisch e da CEPAL sugere que os países exportadores de produtos primários ganham vantagem sobre os países exportadores de produtos industrializados.;❌ Errado. Prebisch e a CEPAL argumentam que os países exportadores de produtos primários tendem a perder em relação aos países que exportam produtos industrializados, devido à deterioração dos termos de troca.
Prebisch e a CEPAL sugeriram a industrialização por substituição de importações como estratégia para países em desenvolvimento.;✅ Certo. Prebisch e a CEPAL sugeriram a industrialização por substituição de importações (ISI) para reduzir a dependência de exportações de matérias-primas.
A teoria das economias de escala afirma que as empresas se tornam mais eficientes quando aumentam sua produção.;✅ Certo. A teoria das economias de escala sugere que aumentar a produção reduz os custos unitários, tornando as empresas mais eficientes.
Os termos de troca se referem à relação entre os preços das exportações e das importações de um país.;✅ Certo. Os termos de troca indicam a relação entre o valor dos bens exportados e os bens importados, afetando a competitividade de um país no comércio internacional.
A deterioração dos termos de troca ocorre quando os preços das commodities caem em relação aos produtos industrializados.;✅ Certo. A deterioração dos termos de troca acontece quando o valor das exportações de produtos primários cai em relação ao valor das importações de produtos industrializados.
A deterioração dos termos de troca prejudica os países exportadores de produtos industrializados, pois eles pagam mais pelas importações.;❌ Errado. A deterioração dos termos de troca prejudica os países exportadores de produtos primários, pois eles precisam exportar mais para adquirir as mesmas importações.
Se um país exportador de petróleo vê o preço do petróleo cair, ele precisará exportar mais petróleo para manter o mesmo valor das importações.;✅ Certo. A queda no preço do petróleo exige que o país exportador de petróleo aumente sua quantidade exportada para manter o mesmo valor das importações.
A macroeconomia aberta estuda como os fluxos internacionais afetam a economia doméstica de um país.;✅ Certo. A macroeconomia aberta analisa a interação entre a economia doméstica e o resto do mundo, incluindo fluxos de bens, serviços e capitais.
A macroeconomia aberta examina apenas os fluxos de bens e serviços entre os países, sem considerar os fluxos de capital e finanças.;❌ Errado. A macroeconomia aberta também considera os fluxos de capital e finanças, além dos fluxos de bens e serviços.
O comércio intrassetorial ocorre quando diferentes países exportam bens idênticos, mas não há diferenciação de produtos.;❌ Errado. O comércio intrassetorial ocorre com produtos semelhantes, mas diferenciados, como carros com diferentes características.
O comércio intrafirma envolve o envio de produtos para mercados externos fora das filiais da mesma empresa.;❌ Errado. O comércio intrafirma ocorre entre filiais da mesma empresa multinacional, não envolvendo o mercado externo.
A industrialização por substituição de importações foi proposta como uma estratégia para países em desenvolvimento pela CEPAL.;✅ Certo. A CEPAL sugeriu a industrialização por substituição de importações como forma de reduzir a dependência de exportações de matérias-primas.
A deterioração dos termos de troca é favorável para os países exportadores de commodities.;❌ Errado. A deterioração dos termos de troca prejudica os países exportadores de commodities, pois eles recebem menos por seus produtos em comparação com os produtos industrializados.
A teoria das economias de escala afirma que as empresas podem reduzir seus custos unitários produzindo grandes volumes de um produto.;✅ Certo. Produzir grandes volumes reduz o custo unitário e aumenta a competitividade das empresas, segundo a teoria das economias de escala.
O comércio intrassetorial é mais comum em indústrias com produtos homogêneos e com baixa diferenciação.;❌ Errado. O comércio intrassetorial é mais comum em indústrias com produtos diferenciados, onde as empresas competem em nichos de mercado.
A concorrência imperfeita, como monopólios e oligopólios, não influencia o comércio internacional.;❌ Errado. A concorrência imperfeita influencia o comércio internacional, pois empresas podem controlar os preços e a produção em mercados monopolistas ou oligopolistas.
A crítica de Prebisch e da CEPAL afirma que os países em desenvolvimento ganham com o comércio internacional, pois seus produtos primários têm alto valor.;❌ Errado. Prebisch e a CEPAL afirmam que os países em desenvolvimento, que exportam produtos primários, perdem com o comércio internacional devido à deterioração dos termos de troca.
O aumento da produção pode tornar as empresas mais competitivas ao reduzir os custos, de acordo com as economias de escala.;✅ Certo. Aumento na produção reduz os custos unitários, tornando as empresas mais competitivas, segundo a teoria das economias de escala.
Fluxos de bens e serviços incluem apenas a troca de produtos físicos entre países.;❌ Errado. Fluxos de bens e serviços incluem tanto bens tangíveis (como alimentos e eletrônicos) quanto serviços intangíveis (como turismo e consultoria).
Fluxos de capitais envolvem investimentos financeiros que cruzam fronteiras.;✅ Certo. Fluxos de capitais referem-se a investimentos financeiros, como empréstimos, investimentos diretos e investimentos de portfólio, entre países.
O comércio internacional é a principal forma de fluxo de serviços entre países.;❌ Errado. O comércio de serviços, como turismo e consultoria, é uma parte importante, mas os fluxos de serviços também envolvem setores como tecnologia e bancos.
O regime de câmbio flutuante é aquele em que o valor da moeda é fixado pelo governo.;❌ Errado. No câmbio flutuante, o valor da moeda é determinado pelo mercado, sem intervenção do governo.
O valor da moeda no regime de câmbio fixo é determinado pelas forças do mercado.;❌ Errado. No câmbio fixo, o valor da moeda é fixado em relação a outra moeda ou cesta de moedas, e o governo intervém para manter essa taxa estável.
O regime de câmbio híbrido permite que a moeda flutue dentro de uma faixa estabelecida, mas o governo pode intervir para evitar grandes variações.;✅ Certo. O câmbio híbrido combina características do câmbio flutuante e fixo, permitindo que a moeda flutue dentro de uma faixa, com intervenção do governo para evitar variações extremas.
A taxa de câmbio nominal é o valor de uma moeda em termos de outra, sem considerar o poder de compra.;✅ Certo. A taxa de câmbio nominal é simplesmente o valor da moeda em relação a outra, como 1 USD = 5 BRL, sem ajustes por poder de compra.
A taxa de câmbio real considera a diferença de preços entre os países e o poder de compra.;✅ Certo. A taxa de câmbio real ajusta a taxa de câmbio nominal levando em conta o poder de compra e os preços relativos entre os países.
Se a taxa de câmbio nominal for 1 USD = 5 BRL, e um produto custa 100 USD nos EUA e 500 BRL no Brasil, a taxa de câmbio real seria a mesma que a nominal.;❌ Errado. A taxa de câmbio real considera os preços relativos e ajustaria a taxa nominal para refletir a competitividade dos preços entre os países.
O câmbio flutuante é usado por países como Hong Kong, onde a moeda é fixada ao dólar americano.;❌ Errado. O câmbio flutuante é determinado pelo mercado, enquanto Hong Kong usa câmbio fixo, onde o dólar de Hong Kong é fixado ao dólar americano.
A taxa de câmbio real reflete a competitividade das economias em termos de preços relativos.;✅ Certo. A taxa de câmbio real ajuda a entender a competitividade de um país, considerando o custo relativo dos bens e serviços entre países.
Fluxos de bens e serviços não afetam a balança comercial de um país.;❌ Errado. Fluxos de bens e serviços afetam diretamente a balança comercial de um país, pois envolvem exportações e importações.
O fluxo de capitais pode incluir a compra de ações ou títulos de outros países.;✅ Certo. O fluxo de capitais pode envolver investimentos de portfólio, como a compra de ações e títulos, entre outros investimentos financeiros.
O câmbio fixo pode causar uma grande volatilidade na moeda, pois não permite intervenção do governo.;❌ Errado. No câmbio fixo, o governo intervém para manter a taxa estável, o que ajuda a evitar a volatilidade da moeda.
A taxa de câmbio nominal ajusta-se automaticamente conforme a diferença de preços entre os países.;❌ Errado. A taxa de câmbio nominal não leva em conta os preços relativos entre os países, apenas o valor da moeda em termos de outra.
O valor de uma moeda em um regime de câmbio fixo pode ser alterado apenas por uma intervenção do governo.;✅ Certo. No câmbio fixo, o valor da moeda é mantido estável pelo governo ou banco central, que intervém para ajustar a taxa de câmbio se necessário.
No câmbio flutuante, o valor da moeda é determinado pela oferta e demanda no mercado.;✅ Certo. O câmbio flutuante é baseado no mercado, onde o valor da moeda varia conforme a oferta e a demanda de mercado.
O comércio de serviços não está relacionado aos fluxos internacionais de bens, já que não envolve transporte físico.;❌ Errado. O comércio de serviços é uma parte importante dos fluxos internacionais, como turismo e consultoria, e está diretamente relacionado com a globalização.
Os fluxos de capitais não têm impacto significativo nas economias locais.;❌ Errado. Fluxos de capitais têm impacto significativo, trazendo recursos ou financiando projetos, afetando a economia de um país.
A taxa de câmbio real é um indicador de como a moeda de um país se compara com a moeda de outro país, sem considerar o poder de compra.;❌ Errado. A taxa de câmbio real considera o poder de compra entre os países, enquanto a nominal não leva isso em conta.
O câmbio híbrido é um sistema em que o valor da moeda é fixado pelo governo, sem flutuação.;❌ Errado. O câmbio híbrido permite alguma flutuação, mas o governo intervém para evitar flutuações extremas.
A taxa de câmbio nominal é usada para calcular o valor de mercado de bens e serviços em outros países.;❌ Errado. A taxa de câmbio nominal é usada para determinar o valor da moeda de um país em termos de outra, mas a taxa de câmbio real é mais útil para comparar preços de bens e serviços.
O fluxo de bens e serviços está restrito ao comércio de bens tangíveis, como produtos físicos.;❌ Errado. O fluxo de bens e serviços inclui tanto bens tangíveis quanto intangíveis, como turismo e serviços de consultoria.
O regime de câmbio flutuante é mais comum em países com economias pequenas e em desenvolvimento.;❌ Errado. O câmbio flutuante é mais comum em economias grandes e desenvolvidas, como o dólar americano e o euro.
O câmbio fixo é utilizado por países como o Brasil, onde o valor da moeda é constantemente ajustado pelo governo.;❌ Errado. O Brasil utilizou câmbio fixo no passado, mas atualmente adota um regime de câmbio flutuante.
A taxa de câmbio real ajusta a taxa nominal para refletir a competitividade de uma economia em termos de preços relativos.;✅ Certo. A taxa de câmbio real leva em conta os preços relativos entre os países, ajudando a entender a competitividade econômica.
O fluxo de capitais pode incluir tanto investimentos diretos quanto empréstimos entre países.;✅ Certo. O fluxo de capitais inclui investimentos diretos, como a compra de fábricas, e também empréstimos e investimentos de portfólio.
No câmbio fixo, o valor da moeda é determinado exclusivamente pelas forças de mercado.;❌ Errado. No câmbio fixo, o valor da moeda é determinado por um governo ou banco central, que intervém para mantê-lo estável.
Taxas de juros mais altas em um país podem atrair investimentos estrangeiros e valorizar sua moeda.;✅ Certo. Taxas de juros mais altas atraem investidores, aumentando a demanda pela moeda local e, consequentemente, sua valorização.
A inflação não tem impacto sobre o valor da moeda de um país no comércio internacional.;❌ Errado. Países com baixa inflação tendem a ter uma moeda mais forte, já que seus bens e serviços são mais competitivos.
O banco central pode usar suas reservas de moeda estrangeira para influenciar a taxa de câmbio.;✅ Certo. O banco central pode usar suas reservas para comprar ou vender moedas e controlar a taxa de câmbio.
Um déficit comercial tende a valorizar a moeda de um país.;❌ Errado. Um déficit comercial tende a desvalorizar a moeda, pois a demanda pela moeda local diminui.
A poupança externa pode financiar projetos de infraestrutura, indústria ou tecnologia e impulsionar o crescimento econômico.;✅ Certo. A poupança externa, através de investimentos ou empréstimos, pode financiar projetos e estimular o crescimento econômico.
Um fluxo constante de dívidas externas não representa risco financeiro para um país.;❌ Errado. Se o país depender demais de dívidas externas, isso pode se tornar insustentável, gerando problemas fiscais e financeiros a longo prazo.
A taxa de câmbio, a taxa de juros e a inflação estão interligadas na política monetária de um país.;✅ Certo. Essas variáveis se influenciam mutuamente e são interdependentes na gestão econômica.
Aumento das taxas de juros em um país pode reduzir a demanda pela sua moeda.;❌ Errado. O aumento das taxas de juros tende a aumentar a demanda pela moeda, já que investidores buscam maiores retornos.
Uma moeda forte (alta taxa de câmbio) tende a aumentar a inflação, pois os produtos importados ficam mais caros.;❌ Errado. Uma moeda forte tende a reduzir a inflação, pois os bens importados ficam mais baratos.
O banco central pode aumentar as taxas de juros para combater a inflação.;✅ Certo. O aumento das taxas de juros desestimula o consumo e os empréstimos, ajudando a controlar a inflação.
As tarifas são impostos sobre exportações, que aumentam a competitividade dos produtos nacionais.;❌ Errado. Tarifas são impostos sobre importações, e não sobre exportações, e geralmente reduzem a competitividade de bens importados.
A imposição de tarifas pode beneficiar os consumidores locais, pois eleva a competitividade dos produtos nacionais.;❌ Errado. Embora as tarifas protejam os produtores locais, os consumidores podem ser prejudicados, já que os preços sobem.
As tarifas podem aumentar a receita do governo, mas também podem causar retaliações de outros países.;✅ Certo. Embora as tarifas aumentem a arrecadação do governo, elas podem levar a tarifas retaliatórias de outros países, afetando o comércio.
As tarifas não alteram a eficiência das indústrias locais, pois apenas protegem os produtores nacionais.;❌ Errado. As tarifas podem reduzir a eficiência, pois protegem indústrias ineficientes que não são desafiadas pela concorrência externa.
A política cambial é determinada apenas pela oferta e demanda do mercado de câmbio.;❌ Errado. A política cambial é influenciada por diversos fatores, como taxas de juros, inflação, reservas internacionais e superávit ou déficit comercial.
Uma moeda mais forte pode reduzir a competitividade das exportações de um país, tornando seus produtos mais caros no mercado internacional.;✅ Certo. Uma moeda forte torna os bens e serviços exportados mais caros, o que pode reduzir sua competitividade.
Se um país tem um superávit comercial, a demanda pela sua moeda tende a diminuir.;❌ Errado. Um superávit comercial aumenta a demanda pela moeda local, pois os estrangeiros precisam dela para pagar pelos bens exportados.
A poupança externa pode ser prejudicial se se transformar em uma dívida excessiva e insustentável.;✅ Certo. Se o financiamento externo for excessivo, pode levar a problemas fiscais e financeiros a longo prazo.
Quando um país tem pouca poupança interna, ele não pode recorrer a poupança externa para financiar seu crescimento econômico.;❌ Errado. O país pode recorrer à poupança externa, como investimentos ou empréstimos, para financiar seu crescimento quando a poupança interna é insuficiente.
O aumento das taxas de juros de um país tende a reduzir o valor da sua moeda no mercado internacional.;❌ Errado. O aumento das taxas de juros tende a valorizar a moeda, pois atrai investimentos estrangeiros em busca de maiores retornos.
A política cambial de um país é completamente independente da política monetária.;❌ Errado. A política cambial e a política monetária são interligadas e se influenciam mutuamente, especialmente na gestão da inflação e da taxa de câmbio.
Tarifas elevadas podem aumentar os preços para os consumidores, mas podem ser benéficas para os produtores nacionais.;✅ Certo. Tarifas elevadas tornam os produtos importados mais caros e favorecem os produtores locais, mas prejudicam os consumidores com preços mais altos.
O governo pode usar suas reservas internacionais para aumentar a competitividade dos produtos importados.;❌ Errado. O governo pode usar reservas internacionais para influenciar a taxa de câmbio, mas isso não afeta diretamente a competitividade dos produtos importados.
O superávit comercial de um país não afeta o valor de sua moeda.;❌ Errado. Um superávit comercial tende a valorizar a moeda do país, pois aumenta a demanda por sua moeda.
Quando a taxa de câmbio aumenta, os produtos importados ficam mais caros e isso pode aumentar a inflação.;✅ Certo. Uma moeda mais fraca (taxa de câmbio alta) torna as importações mais caras, o que pode aumentar a inflação.
A inflação alta pode fortalecer a moeda de um país, tornando seus bens mais competitivos.;❌ Errado. A alta inflação tende a enfraquecer a moeda, tornando os bens e serviços de um país menos competitivos no mercado internacional.
O banco central pode usar taxas de juros mais altas para atrair investimentos estrangeiros e valorizar sua moeda.;✅ Certo. Taxas de juros mais altas atraem investimentos estrangeiros, o que aumenta a demanda pela moeda e a valoriza.
Quando um país aumenta as tarifas sobre importações, ele pode incentivar a produção interna e reduzir a dependência de produtos estrangeiros.;✅ Certo. Tarifas podem proteger indústrias locais, incentivando a produção interna e reduzindo a dependência de importações.
A imposição de tarifas geralmente resulta em preços mais baixos para os consumidores no país importador.;❌ Errado. As tarifas aumentam o custo dos bens importados, resultando em preços mais altos para os consumidores.
O regime de câmbio flutuante pode ser influenciado por políticas monetárias, como taxas de juros e inflação.;✅ Certo. O câmbio flutuante é determinado pelo mercado, mas políticas monetárias, como taxas de juros e inflação, influenciam a demanda pela moeda.
O aumento do déficit comercial pode valorizar a moeda local, devido ao aumento da demanda por produtos estrangeiros.;❌ Errado. Um déficit comercial tende a desvalorizar a moeda local, pois há menor demanda pela moeda doméstica.
A relação entre câmbio, juros e inflação é importante para a estabilidade econômica de um país.;✅ Certo. Essas variáveis estão interligadas e impactam a estabilidade econômica e a competitividade no comércio internacional.
As quotas são restrições impostas pelo governo sobre a quantidade de um produto que pode ser importado.;✅ Certo. As quotas limitam a quantidade de produtos que podem ser importados durante um determinado período.
As quotas não têm impacto sobre os preços dos produtos importados.;❌ Errado. As quotas podem aumentar os preços dos produtos importados, pois a oferta é limitada.
A imposição de quotas pode aumentar a produção nacional, já que há menos competição com produtos estrangeiros.;✅ Certo. Com menos importações no mercado, os produtores locais podem aumentar sua produção.
As quotas não beneficiam os importadores, pois limitam o volume de produtos que podem ser trazidos para o país.;❌ Errado. Alguns importadores podem ser beneficiados se tiverem uma quota especial, podendo vender a preços mais altos.
As quotas podem melhorar a eficiência econômica, pois reduzem a concorrência externa.;❌ Errado. As quotas podem reduzir a eficiência econômica ao proteger indústrias ineficientes e prejudicar os consumidores com preços mais altos.
A imposição de quotas pode gerar tensões comerciais com outros países.;✅ Certo. Outros países podem reagir com suas próprias restrições comerciais, criando um ambiente de retaliação.
Os subsídios são transferências financeiras do governo para produtores locais, a fim de reduzir seus custos de produção.;✅ Certo. Subsídios ajudam a tornar os produtos locais mais competitivos no mercado internacional.
Os subsídios podem reduzir a competitividade dos produtos locais no mercado internacional.;❌ Errado. Os subsídios aumentam a competitividade, permitindo que as empresas vendam a preços mais baixos.
O subsídio pode prejudicar os produtores de outros países que não recebem o mesmo tipo de apoio do governo.;✅ Certo. Subsídios podem distorcer o comércio global e afetar os produtores estrangeiros que não recebem apoio similar.
O efeito dos subsídios é sempre positivo, sem custos para o governo.;❌ Errado. Subsídios representam custos para o governo e podem afetar a sustentabilidade fiscal.
Os subsídios podem ajudar as empresas locais a reduzir seus custos, mas podem afetar sua eficiência.;✅ Certo. As empresas podem ficar menos motivadas a melhorar a produtividade se forem subsidiadas, o que pode afetar sua eficiência.
O uso de subsídios não afeta o comércio global, pois não interfere nas condições do mercado.;❌ Errado. Os subsídios podem prejudicar o comércio global, desequilibrando a competitividade entre os países.
O custo dos subsídios para o governo pode afetar a sustentabilidade fiscal do país.;✅ Certo. Subsídios representam gastos públicos, o que pode impactar as finanças do governo a longo prazo.
Controles de preços e antidumping são instrumentos usados para regular o comércio internacional e garantir a concorrência justa.;✅ Certo. Os controles de preços e as taxas antidumping são usados para evitar que produtos sejam vendidos abaixo do preço de mercado para eliminar a concorrência.
A imposição de normas técnicas e sanitárias tem como objetivo proteger a saúde pública e garantir a qualidade dos produtos importados.;✅ Certo. Essas normas protegem os consumidores, assegurando que os produtos atendam aos padrões de segurança e qualidade.
A política de propriedade intelectual e direitos autorais não tem impacto no comércio internacional.;❌ Errado. Patentes e direitos autorais podem restringir o comércio de certos produtos e incentivar a inovação.
O uso de quotas não pode gerar distorções no mercado, pois elas não afetam os preços.;❌ Errado. As quotas podem distorcer o mercado ao limitar a oferta de produtos e aumentar os preços.
O principal objetivo das quotas é proteger a indústria local de uma concorrência excessiva.;✅ Certo. As quotas são usadas para reduzir a quantidade de importações, protegendo a produção local da concorrência externa.
A imposição de quotas pode beneficiar os consumidores, já que elas aumentam a produção local.;❌ Errado. Embora as quotas beneficiem os produtores locais, elas tendem a prejudicar os consumidores, pois os preços aumentam devido à redução da oferta.
Os subsídios podem causar uma queda nos preços dos produtos no mercado doméstico, beneficiando os consumidores.;✅ Certo. A produção subsidiada pode resultar em preços mais baixos para os consumidores, pois as empresas têm custos mais baixos.
Quando um país subsidia suas indústrias, isso pode afetar negativamente os produtores de outros países.;✅ Certo. Os subsídios podem prejudicar os produtores estrangeiros que não têm o mesmo tipo de apoio, distorcendo o comércio.
