O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Como Tylor interpretava as culturas “primitivas”?;Como estágios anteriores da evolução cultural, equivalentes à infância do indivíduo rumo à civilização moderna.
Que conceito Tylor inventou e qual teoria aplicava à religião?;Inventou o termo “animismo” e aplicou a teoria dos estágios (influência de Comte) à evolução religiosa, do animismo ao monoteísmo e à ciência.
Qual era a visão de Tylor sobre a ciência no futuro?;Acreditava que a ciência substituiria gradualmente as explicações espirituais, impondo leis sistemáticas.
Como Tylor via as “sobrevivências” culturais?;Como vestígios de estágios históricos anteriores presentes mesmo em nações civilizadas, visíveis em superstições e costumes do campo.
Quem seria o “elo” entre o selvagem e o civilizado, segundo a antropologia do período?;O camponês, considerado o elo entre o selvagem e o civilizado.
Como Tylor via a antropologia?;Como “essencialmente uma ciência reformadora”, acreditando que camponeses poderiam se tornar membros plenos da sociedade civilizada.
Qual interpretação distorcida podia surgir das teorias de Tylor?;Que povos em estágios de “infância” cultural precisariam ser tratados como crianças pelas sociedades “maduras”.
Cite um exemplo de declaração racista do período baseada em antropologia.;A Anthropological Review declarou que “o tipo do negro é fetal, o tipo do mongol é infantil”, refletindo em governos e artes “infantis”.
O que o capitão Osborn afirmou em 1860 sobre os chineses?;“Trate-os como crianças. Faça-os fazer o que sabemos que é melhor para eles, e todas as dificuldades com a China chegarão a um fim.”
Como o conceito de “inferioridade” era justificado?;Como representando um estágio anterior de evolução biológica e sociocultural, comprovado pela superioridade tecnológica e militar do Ocidente.
Como as classes médias utilizavam o argumento racial?;Para justificar desigualdades internas e externas, afirmando que pobres eram biologicamente inferiores.
Qual era o argumento das classes superiores sobre sua superioridade?;Que eram um tipo mais elevado de humanidade, mantendo superioridade por endogamia e ameaçadas pela reprodução das “ordens inferiores”.
O que a escola italiana de “antropologia criminal” defendia?;Que criminosos e anti-sociais pertenciam a linhagens inferiores, podendo ser identificados por mensuração de crânio e outros métodos.
Quem foi Gregor Mendel e qual a relevância de seus experimentos?;Monge (1822-84), realizou experimentos de genética com feijões em 1865, ignorados na época, redescobertos apenas em 1900.
Por que o racismo foi utilizado como justificativa para a dominação social no século XIX?;O racismo serviu para legitimar a dominação dos brancos sobre pessoas de cor e dos ricos sobre os pobres, funcionando como um mecanismo para racionalizar desigualdades em uma sociedade que, idealmente, se baseava na ideologia da igualdade e democracia.
Qual paradoxo o liberalismo enfrentava em relação à igualdade e democracia?;"O liberalismo não possuía uma defesa lógica contra a igualdade e a democracia, por isso usou o racismo ilógico para criar uma barreira justificadora da desigualdade, usando a ciência para ""provar"" que os homens não eram iguais."
A ciência do século XIX conseguiu provar a desigualdade racial?;"Não, embora alguns cientistas tenham tentado, a ciência não provou que homens fossem desiguais; por exemplo, a tautologia darwinista da ""sobrevivência dos melhores"" não comprova superioridade, pois minhocas também sobrevivem."
Como o progresso era entendido na história evolucionista do século XIX?;"Progresso era associado principalmente a avanços em ciência e tecnologia, mas não considerava outras dimensões humanas, e não tratava o ""atraso"" como fato irreparável."
Qual era a premissa básica do paradigma da “árvore de família” em filologia e antropologia?;Que os seres humanos são essencialmente os mesmos, com comportamentos regidos por leis uniformes, e as diferenças históricas são circunstanciais e não indicam desigualdade genética permanente.
Como os sistemas de parentesco dos aborígenes australianos e outros grupos eram interpretados?;"Como ""sobreviventes"" dos estágios ancestrais da evolução da família moderna, indicando diferenças mas não inferioridade."
A que pertence o “darwinismo social” e a antropologia racista?;Não pertencem à ciência do século XIX, mas sim à sua política e ideologia.
Qual era o grau de confiança das ciências naturais e sociais no século XIX?;Ambas tinham uma confiança impressionante em si mesmas, acreditando na infalibilidade do método científico e na existência de leis uniformes e invariáveis que explicavam o universo.
Qual era a visão do século XIX sobre o estágio do conhecimento humano, segundo Comte?;O “terceiro estágio” da ciência positiva havia chegado, marcando o fim da superstição, teologia e especulação, com a ciência positiva sendo a chave-mestra do universo.
Como a confiança dos cientistas do século XIX se refletia na sociedade e na cultura?;Era compartilhada por propagandistas e ideólogos que usavam a ciência para validar preconceitos e mobilizar o senso comum para justificar o progresso liberal capitalista.
Onde estavam concentrados os centros acadêmicos mais avançados da época?;Principalmente na Europa central e do leste, e notavelmente na Rússia, superando em importância muitos centros americanos como Yale e Princeton.
Qual foi a hegemonia cultural e acadêmica dominante no século XIX?;A hegemonia alemã, com muitas universidades adotando o modelo alemão, o alemão sendo a língua dominante na publicação científica, especialmente na química e matemática.
Como se comparava a filosofia científica alemã à francesa no período?;"Os franceses mantinham um estilo próprio e nacionalista; os alemães não tinham um gênero filosófico específico no século XIX, mas seguiram um caminho que seria dominante no século XX."
Quais ciências naturais inglesas continuavam produzindo cientistas renomados?;Física e química, com nomes como Thompson e Darwin.
Em que ciências sociais a dominação alemã não era tão forte?;História acadêmica, linguística, economia, sociologia e antropologia.
Qual era a origem e principal centro da “evolução” como ponte entre ciências naturais e sociais?;A Inglaterra, que exercia papel central nesse conceito.
Como as ciências sociais refletiam o contexto social do liberalismo burguês?;Refletiam as pré-concepções e problemas do liberalismo clássico, diferentemente da Alemanha onde a sociedade burguesa coexistia com aristocracia e burocracia.
Qual a importância de Karl Marx no contexto das ciências sociais do século XIX?;Marx foi o mais eminente cientista social do período, trabalhando na Inglaterra e derivando sua análise da ciência econômica não-alemã, baseando sua obra na sociedade burguesa clássica inglesa, já enfrentando desafios.
;
"Qual era o papel da ""ciência"" na ideologia laica de progresso do século XIX?";A ciência era o centro da ideologia laica de progresso, tanto liberal quanto socialista, fundamentando a crença no avanço e modernização da sociedade.
Por que a religião merecia atenção no século XIX, apesar da crescente laicização?;Porque ainda formava a linguagem de pensamento da maioria da população mundial e porque a sociedade burguesa, mesmo laica, se preocupava com as consequências sociais da descrença.
Como as ciências naturais e sociais afetaram a crença literal nas escrituras judaico-cristãs?;As descobertas de Lyell e Darwin desmentiram a literalidade do Gênesis, minando a autoridade das escrituras e facilitando a descrença em Deus no mundo ocidental.
Qual foi o impacto do anticlericalismo no pensamento livre das classes médias e operárias?;O anticlericalismo tornou-se militante, especialmente entre a classe média e operária, que rejeitavam a religião como opressora e buscavam ideologias materialistas e revolucionárias.
Qual era a diferença entre ateísmo militante e anticlericalismo no século XIX?;O ateísmo militante rejeitava a crença em Deus, enquanto o anticlericalismo focava na luta contra o poder e influência política das igrejas oficiais, especialmente a Igreja Católica.
O que foi a Kulturkampf de Bismarck e qual seu objetivo?;Foi uma luta cultural entre o Estado alemão e a Igreja Católica Romana (1870-71), visando limitar o poder da Igreja sem necessariamente negar a fé religiosa.
Como o anticlericalismo se manifestava em países com fé monolítica?;Geralmente implicava na rejeição total da religião, sendo mais radical e associada à luta política contra o domínio religioso.
Qual foi a reação da Igreja Católica Romana diante do ultraconservadorismo na década de 1860?;A Igreja institucionalizou o ultraconservadorismo, exemplificado pela declaração da infalibilidade papal no Concílio Vaticano de 1870, suprimindo correntes liberais internas.
Qual era o objetivo político principal do anticlericalismo no século XIX?;A separação da Igreja do Estado e a remoção do status oficial da religião, transformando-a em uma organização voluntária e privada.
Por que o anticlericalismo considerava as religiões hostis ao progresso?;Porque as religiões estabelecidas eram vistas como conservadoras, tradicionais e reacionárias, impedindo a modernização social e política do século XIX.
Qual foi o papel das seitas não-conformistas na Inglaterra em relação à Igreja Anglicana?;Eram o principal grupo que promovia a luta contra o poder oficial da Igreja Anglicana, representando um anticlericalismo religioso interno.
"Como o anticlericalismo variava em intensidade conforme o ""atraso"" do país?";Quanto mais atrasado o país, mais militante e passional era o anticlericalismo, como na França e no México, onde a luta contra a Igreja era acirrada.
"Como o ""progresso"" e a emancipação social estavam ligados à ruptura com crenças religiosas?";O progresso e a emancipação implicavam uma ruptura militante com a religião tradicional, vista como um obstáculo à liberdade intelectual e social.
"Qual livro era mais lido pelos trabalhadores social-democratas alemães: Marx ou ""Moisés ou Darwin""?";"""Moisés ou Darwin"" era mais lido, indicando a importância das discussões sobre ciência e religião para os trabalhadores."
Como os anarquistas da Europa ocidental se posicionavam em relação à religião?;Eram selvagemente anticlericais, refletindo a militância popular contra a religião tradicional.
O que simboliza o nome Benito Mussolini dado por um ferreiro radical italiano?;Simboliza a influência do anticlericalismo e do progressismo, em homenagem ao presidente mexicano anticlerical Benito Juarez.
Por que alguns livre-pensadores da classe média sentiam nostalgia pela religião?;Porque valorizavam o papel da religião na manutenção da ordem social e na moderação dos pobres, e tentaram substituir religiões tradicionais por formas laicas ou neo-religiosas.
"O que foi a ""religião da humanidade"" de Comte?";Um experimento de neo-religião que substituía santos por grandes homens, tentando oferecer um culto secular, mas que não teve grande sucesso.
Que tipo de consolação buscavam as pessoas na “Ciência Cristã” e no espiritualismo?;Consolação relacionada à sobrevivência após a morte e rituais coloridos, colocando fenômenos espirituais em um contexto de ciência experimental.
Onde o espiritualismo teve sua maior difusão?;Nos Estados Unidos, especialmente ligado à reforma, esquerda radical e emancipação feminina.
Quais paralelos foram traçados entre o espiritualismo e a nova arte da fotografia?;O espiritualismo buscava legitimar a sobrevivência após a morte em termos de imagens objetivas, algo que a fotografia podia potencialmente demonstrar.
Por que houve uma proliferação de rituais laicos no século XIX?;Devido à sede humana por rituais e simbolismos, substituindo a função social e cultural da religião tradicional em sociedades cada vez mais laicas.
Quais exemplos de sociedades ritualizadas e secretas foram citadas?;Sindicatos com bandeiras e certificados alegóricos, Sociedades de Ajuda Mútua, Ku-Klux-Klans e franco-maçons.
Qual a importância política dos franco-maçons no século XIX?;Cresceram em importância política e estavam associados ao pensamento livre e anticlericalismo, sendo influentes em vários países fora do mundo anglo-saxão.
Qual era o estado da fé religiosa entre os intelectuais e indivíduos nas grandes cidades no século XIX?;"O indivíduo com fé frequentemente tinha ""dúvidas"", especialmente intelectuais, e a prática religiosa declinava nas grandes cidades, onde a pressão comunitária era menor."
Como se deu o declínio da religião de massa no século XIX?;"Não houve um declínio comparável ao intelectual; as classes médias anglo-saxônicas permaneceram em geral religiosas ou pelo menos hipócritas, e a religião continuou forte em novas comunidades de imigrantes."
Qual foi o papel das seitas protestantes não-oficiais na Inglaterra?;"Sua taxa de expansão decaiu, mas a ""consciência não-conformista"" tornou-se politicamente mais influente conforme essas comunidades se tornaram mais de classe média."
Como a frequência à igreja mudou na Austrália entre 1850 e 1870?;A frequência subiu de 36,5% para quase 59%, e depois estabilizou em torno de 40% nas últimas décadas do século.
Por que o declínio da religião era inibido nas classes médias?;Pela tradição, pelo fracasso do racionalismo liberal em substituir a fé e o ritual, e pela necessidade de um pilar de estabilidade, moralidade e ordem social.
Quais fatores contribuíram para a expansão da religião entre as massas?;Migrações de massa de regiões tradicionais para cidades e continentes novos, além da alta taxa de fertilidade dos pobres em comparação com os não-crentes.
Como as migrações afetaram a fé dos irlandeses no século XIX?;As migrações enfraqueceram sua fé, mas a dispersão e a alta natalidade ajudaram a Igreja Católica a crescer em termos absolutos e relativos.
Quais foram os resultados das missões cristãs entre 1871 e 1877?;Apesar de gastos altos (8 milhões de libras britânicas), os resultados foram modestos, especialmente contra o islamismo e no proletariado local.
Como o islamismo se expandiu durante o século XIX?;Espalhou-se irresistivelmente pela África e partes da Ásia, ajudado pelo igualitarismo e consciência da superioridade moral sobre os conquistadores europeus, sem precisar de missão organizada.
Quais dificuldades os missionários enfrentaram para converter populações muçulmanas?;Nunca conseguiram abrir brecha significativa dentro da população muçulmana, e sua penetração só ocorreu em algumas populações não-islâmicas com apoio colonial.
Qual foi o impacto do imperialismo no crescimento missionário cristão na África?;O número de missionários protestantes aumentou de cerca de 3 mil em 1880 para 18 mil em 1900, com maior poder material sustentando a influência espiritual.
Como o cristianismo sincrético influenciou a expansão religiosa?;"O cristianismo foi mais efetivo quando elementos locais eram absorvidos em cultos ""nativistas"", como o movimento Taiping na China."
Que sinais de contra-ataque à laicização surgiram dentro do cristianismo?;O culto ao milagre em Lourdes (França) a partir de 1858 e o reforço da influência clerical diante do anticlericalismo.
Como a Igreja Católica reagiu ao anticlericalismo na América Latina?;Capturou e re-proselitizou as áreas rurais, reagindo com força similar à Contra-Reforma do século XVI, tornando-se mais intransigente e poderosa após o Concílio Vaticano de 1870.
Como o catolicismo mudou após o Concílio Vaticano de 1870?;Tornou-se totalmente intransigente, recusando qualquer acomodação com o progresso e liberalismo, mas perdeu terreno para adversários.
Como as religiões fora do cristianismo resistiram à era liberal?;"Apoiaram-se no tradicionalismo e na resistência à expansão europeia; tentativas de liberalização, como a Reforma Judaica, foram rejeitadas pelos ortodoxos e agnósticos."
Qual foi o papel do xintoísmo no Japão?;Criado como nova religião estatal a partir de elementos tradicionais, serviu a propósitos antieuropeus e de fortalecimento nacional.
Como líderes revolucionários do Terceiro Mundo usavam a religião para apoio popular?;Adotavam o papel ou prestígio de monjes budistas ou santos hindus para legitimar sua autoridade junto às massas.
Qual era o tamanho relativo do grupo de descrentes no século XIX?;Relativamente pequeno, especialmente porque a metade feminina da população raramente era afetada pelo agnosticismo, embora eles dominassem um mundo essencialmente laico.
Como a religião reagia ao crescimento do mundo laico?;Recuava para suas fortificações tradicionais, preparando-se para um cerco longo e difícil.
Qual era o estado da fé religiosa entre os intelectuais e indivíduos nas grandes cidades no século XIX?;"O indivíduo com fé frequentemente tinha ""dúvidas"", especialmente intelectuais, e a prática religiosa declinava nas grandes cidades, onde a pressão comunitária era menor."
Como se deu o declínio da religião de massa no século XIX?;"Não houve um declínio comparável ao intelectual; as classes médias anglo-saxônicas permaneceram em geral religiosas ou pelo menos hipócritas, e a religião continuou forte em novas comunidades de imigrantes."
Qual foi o papel das seitas protestantes não-oficiais na Inglaterra?;"Sua taxa de expansão decaiu, mas a ""consciência não-conformista"" tornou-se politicamente mais influente conforme essas comunidades se tornaram mais de classe média."
Como a frequência à igreja mudou na Austrália entre 1850 e 1870?;A frequência subiu de 36,5% para quase 59%, e depois estabilizou em torno de 40% nas últimas décadas do século.
Por que o declínio da religião era inibido nas classes médias?;Pela tradição, pelo fracasso do racionalismo liberal em substituir a fé e o ritual, e pela necessidade de um pilar de estabilidade, moralidade e ordem social.
Quais fatores contribuíram para a expansão da religião entre as massas?;Migrações de massa de regiões tradicionais para cidades e continentes novos, além da alta taxa de fertilidade dos pobres em comparação com os não-crentes.
Como as migrações afetaram a fé dos irlandeses no século XIX?;As migrações enfraqueceram sua fé, mas a dispersão e a alta natalidade ajudaram a Igreja Católica a crescer em termos absolutos e relativos.
Quais foram os resultados das missões cristãs entre 1871 e 1877?;Apesar de gastos altos (8 milhões de libras britânicas), os resultados foram modestos, especialmente contra o islamismo e no proletariado local.
Como o islamismo se expandiu durante o século XIX?;Espalhou-se irresistivelmente pela África e partes da Ásia, ajudado pelo igualitarismo e consciência da superioridade moral sobre os conquistadores europeus, sem precisar de missão organizada.
Quais dificuldades os missionários enfrentaram para converter populações muçulmanas?;Nunca conseguiram abrir brecha significativa dentro da população muçulmana, e sua penetração só ocorreu em algumas populações não-islâmicas com apoio colonial.
Qual foi o impacto do imperialismo no crescimento missionário cristão na África?;O número de missionários protestantes aumentou de cerca de 3 mil em 1880 para 18 mil em 1900, com maior poder material sustentando a influência espiritual.
Como o cristianismo sincrético influenciou a expansão religiosa?;"O cristianismo foi mais efetivo quando elementos locais eram absorvidos em cultos ""nativistas"", como o movimento Taiping na China."
Que sinais de contra-ataque à laicização surgiram dentro do cristianismo?;O culto ao milagre em Lourdes (França) a partir de 1858 e o reforço da influência clerical diante do anticlericalismo.
Como a Igreja Católica reagiu ao anticlericalismo na América Latina?;Capturou e re-proselitizou as áreas rurais, reagindo com força similar à Contra-Reforma do século XVI, tornando-se mais intransigente e poderosa após o Concílio Vaticano de 1870.
Como o catolicismo mudou após o Concílio Vaticano de 1870?;Tornou-se totalmente intransigente, recusando qualquer acomodação com o progresso e liberalismo, mas perdeu terreno para adversários.
Como as religiões fora do cristianismo resistiram à era liberal?;"Apoiaram-se no tradicionalismo e na resistência à expansão europeia; tentativas de liberalização, como a Reforma Judaica, foram rejeitadas pelos ortodoxos e agnósticos."
Qual foi o papel do xintoísmo no Japão?;Criado como nova religião estatal a partir de elementos tradicionais, serviu a propósitos antieuropeus e de fortalecimento nacional.
Como líderes revolucionários do Terceiro Mundo usavam a religião para apoio popular?;Adotavam o papel ou prestígio de monjes budistas ou santos hindus para legitimar sua autoridade junto às massas.
Qual era o tamanho relativo do grupo de descrentes no século XIX?;Relativamente pequeno, especialmente porque a metade feminina da população raramente era afetada pelo agnosticismo, embora eles dominassem um mundo essencialmente laico.
Como a religião reagia ao crescimento do mundo laico?;Recuava para suas fortificações tradicionais, preparando-se para um cerco longo e difícil.
Qual é a avaliação geral dos entusiastas mais recentes sobre a pintura da segunda metade do século XIX?;Eles têm encontrado dificuldades em elogiar a pintura do período, destacando principalmente a pintura francesa com artistas como Daumier, Courbet, a escola de Barbizon e os Impressionistas como os poucos que se tornaram parte do museu do século XX.
Quais artistas franceses do século XIX são considerados essenciais para a reputação da pintura desse período?;Daumier, Gustave Courbet, os membros da escola de Barbizon e o grupo dos Impressionistas, incluindo Manet, Degas e Cézanne.
Como a arte oficial acadêmica e popular desse período é caracterizada?;Não era uniforme em caráter, possuía padrões técnicos altos, mas a maior parte da produção era considerada horrível.
Qual importância tem a escultura do século XIX, e qual escultor é destacado?;Embora a escultura tenha sido amplamente produzida em forma de monumentos, merece mais atenção devido ao jovem Rodin, um escultor de destaque da época.
Como é descrita a situação da arte na sociedade burguesa do século XIX?;Tragicômica: a burguesia valorizava imensamente as artes e gastava muito dinheiro, mas isso não garantiu uma era dourada das artes criadoras.
Que fenômeno social a valorização das artes no século XIX representa?;A valorização das obras dos gênios criadores é uma invenção burguesa como fenômeno social, atrelado à ideia de progresso universal e constante.
Como os industriais e empresários influenciaram o mercado da arte no século XIX?;Alguns, como Herr Ahrens, Bolckow, Holloway e Mendel, colecionavam pinturas modernas, elevando os preços dos pintores acadêmicos, refletindo a importância econômica da burguesia na arte.
Quem foram os principais patronos das artes no final do século XIX?;"Governos, entidades públicas, a burguesia e uma crescente seção das ""ordens menores"", que consumiam produtos culturais acessíveis em maior quantidade e a preços menores."
Qual foi o papel das autoridades públicas laicas no financiamento de edifícios monumentais?;Elas foram os principais clientes para grandes edifícios públicos, cuja finalidade era demonstrar a riqueza e esplendor das cidades, com pouco foco em utilidade prática.
Como os edifícios governamentais da era do laissez-faire eram caracterizados?;Eram conspícuos e raramente religiosos, exceto em países católicos ou quando destinados a grupos religiosos minoritários como judeus e não-conformistas ingleses.
"Qual foi a natureza da paixão pela ""restauração"" das grandes igrejas medievais na Europa do século XIX?";Era mais um movimento cívico do que espiritual, simbolizando o orgulho cultural e histórico da sociedade.
Como a relação entre as coleções imperiais e o público mudou no século XIX?;Coleções imperiais tornaram-se museus públicos e óperas passaram a vender ingressos, indicando uma democratização do acesso à cultura.
O que demonstra o exemplo da construção dos prédios públicos em Leeds?;Que os homens de negócios da época priorizavam cultivar o gosto pelas belas artes, gastando muito mais que o previsto para garantir a grandiosidade estética, mesmo em disputas comerciais.
Quais tipos de edifícios públicos foram construídos no bulevar circular de Viena após a demolição das fortificações?;Edifícios representando comércio (bolsa de valores), religião (Votivkirche), universidades, administração civil (prefeitura, palácio da justiça, parlamento) e artes (teatros, museus, academias).
Como as demandas da burguesia em relação à arte se manifestaram individualmente e coletivamente na segunda metade do século XIX?;Individualmente, as demandas eram mais modestas, mas coletivamente muito maiores, crescendo especialmente a partir da década de 1860 com o aumento de dinheiro disponível para o consumo artístico.
Como evoluíram os preços de objetos simbólicos de status, como móveis franceses do século XVI e vasos de Sèvres, entre as décadas de 1850 e 1870?;"Em 1850, apenas um móvel francês passou de 1 mil libras em leilão; na década de 1860, oito; e na de 1870, 14, incluindo um lote que atingiu 30 mil libras. Vasos de Sèvres foram vendidos por 1 mil libras em 1850, três vezes mais em 1860 e 11 vezes mais em 1870."
Qual o papel do teatro e da música clássica na economia das artes no século XIX?;O teatro e, em menor grau, a música clássica e os concertos eram financeiramente prósperos, com a ópera e o balé clássico sustentados por subsídios governamentais ou ricos que buscavam status.
Como o mercado editorial se destacou na segunda metade do século XIX?;"Editores de livros caros para um mercado limitado prosperaram, com circulação de jornais como o Times de Londres entre 50 e 60 mil, atingindo 100 mil em ocasiões especiais, e livros como ""Travels of Livingstone"" vendendo 30 mil exemplares em seis anos."
Qual o impacto das necessidades domésticas e comerciais da burguesia na arquitetura urbana do século XIX?;Elas favoreceram a fortuna de inúmeros arquitetos que construíram e reconstruíram áreas substanciais das cidades para a burguesia.
Qual foi a inovação revolucionária do mercado de arte na metade do século XIX?;A possibilidade técnica de reproduzir obras criativas de forma barata e em grande escala, destacando a fotografia como principal competidor da criação artística.
Quais outras formas de reprodução mecânica influenciaram o acesso às artes no século XIX?;"Multiplicação de edições baratas de livros (bibliotecas ""ambulantes""), gravação em ferro com eletrogravação para retratos em massa, e desenvolvimento do jornalismo e autodidatismo."
Qual era a importância econômica do mercado de massas para as artes no século XIX?;Apesar de menor que a atual, já era relevante, com pintores ganhando principalmente com gravuras vendidas em massa, e escritores como Bulwer-Lytton vendendo direitos de edições baratas por grandes somas.
Como a reprodução mecânica afetou a produção artística tradicional?;Provocou desvalorização da produção tradicional, gerando reações político-ideológicas como o movimento arts and crafts, com raízes antiindustrialistas e socialistas, e a influência dos pré-rafaelitas.
Qual era o perfil do público que influenciava os artistas do século XIX?;Um público diversificado incluindo aristocracia, burguesia, classe média modesta e trabalhadores especializados, todos aspirando à respeitabilidade e cultura.
Como eram as artes em termos de popularidade e qualidade dos talentos criativos?;"As artes eram populares e prósperas, mas os talentos criativos com maior apelo popular eram frequentemente os piores; os melhores talentos nem sempre eram ignorados, mas algumas vanguardas resistiram ao gosto burguês."
Quais artistas e escritores do século XIX tiveram sucesso financeiro e reconhecimento durante a vida?;Autores e artistas como Tolstoi, Charles Dickens, W. Thackeray, George Eliot, Tennyson, Victor Hugo, Zola, Dostoievsky, Wagner, Verdi, Brahms, Liszt, Dvorak, Tchaikovsky, Mark Twain e Henrik Ibsen desfrutaram de sucesso e reconhecimento.
Como a renda de Charles Dickens na década de 1860 refletia seu sucesso?;Recebia cerca de 10 mil libras anuais a partir de 1848, crescendo até 33 mil libras em 1868, principalmente por turnês de leitura nos Estados Unidos, equivalente a uma renda de classe alta na época.
Por que artistas e escritores do século XIX precisavam se adequar ao mercado?;"Porque, apesar do prestígio, para viver confortavelmente era necessário atrair compradores e ter sucesso comercial; a sobrevivência financeira dependia do bom termo com o mercado burguês."
Qual era o papel social do artista na sociedade aristocrática e monárquica?;O artista era visto como um ornamentador ou ornamento da corte ou palazzo, uma peça valiosa da propriedade, semelhante a fornecedores de serviços luxuosos como cabelereiros e costureiros.
Como a sociedade burguesa do século XIX via o artista?;"Como um ""gênio"", uma versão idealizada da empresa individual, representando o ideal que complementava e coroava o sucesso material e os valores espirituais da vida."
Qual a importância das artes na civilização materialista do final do século XIX?;As artes agiam como fornecedoras do conteúdo espiritual, substituindo, em parte, as religiões tradicionais para as classes médias emancipadas e cultas.
Como as artes eram percebidas especialmente entre os povos de língua germânica?;"A cultura era vista como monopólio especial; óperas e teatros funcionavam como templos de culto religioso secular, com rituais como a iniciação escolar por obras clássicas e a catedral de Bayreuth de Wagner."
Qual foi a função da catedral de Bayreuth construída por Wagner?;Tornar-se um local de peregrinação religiosa laica, onde os espectadores participavam de longas apresentações sem aplausos, numa exaltação neopagana da obra de Wagner.
Como as artes se relacionaram com o nacionalismo no século XIX?;"As artes passaram a ser portadoras da nova ""religião"" laica do nacionalismo, expressando simbolicamente o conceito de nação através de símbolos como bandeiras, hinos e escolas nacionais de música (ex: Verdi no Risorgimento, Dvorak e Smetana entre os tchecos)."
Qual foi a importância da comunidade judaica nas artes do final do século XIX?;Pequena e rica, essa comunidade culturalmente alemã/germanizada patrocinou profundamente a música clássica e as artes, contribuindo incalculavelmente para seu desenvolvimento.
Qual era o perfil dos capitalistas da primeira geração em relação ao gosto artístico?;"Eram em geral filisteus, enquanto suas mulheres tentavam ter interesse nas coisas elevadas; exceção era Andrew Carnegie, um milionário americano anticlerical e amante das artes."
Que aspirações culturais tinham os filhos de banqueiros na Áustria?;Desejavam vê-los como compositores ou maestros, uma alternativa ao ministério ou cargos políticos.
Qual foi o papel das classes médias intelectuais em relação à substituição da religião pelas artes e natureza?;Apenas estes setores, geralmente com renda privada, substituíram a religião tradicional pela exaltação da natureza e das artes.
Como as artes eram respeitadas mesmo em sociedades burguesas consideradas filisteias?;Ocupavam lugar especial de respeito e estima, com grandes símbolos coletivos como teatros, óperas e museus construídos e ampliados nas capitais europeias e americanas.
Quais foram alguns exemplos de grandes construções artísticas e culturais do século XIX?;Catedrais monumentais como as de Dresden, teatros de Barcelona e Palermo, museus ampliados, e grandes bibliotecas nacionais, como a Biblioteca Britânica e a Bibliothèque Nationale.
Como cresceu o número e o acervo de bibliotecas na Europa e nos EUA entre 1848 e 1880?;"O número de bibliotecas na Europa aumentou quase 12 vezes (de 400 para cerca de 4.800), com o dobro de volumes; EUA cresceram menos em número, mas quadruplicaram seus livros."
Como a cultura literária se difundiu nas casas burguesas?;Estantes foram preenchidas com obras encadernadas dos clássicos nacionais e internacionais, refletindo o crescente interesse cultural da classe média.
Como evoluiu o público das galerias e museus na segunda metade do século XIX?;"A Royal Academy em Londres passou de 90 mil visitantes em 1848 para quase 400 mil no final da década de 1870; vernissages tornaram-se eventos de alta classe social."
Qual era o impacto social dos vernissages e pré-estréias teatrais nesse período?;Tornaram-se modas associadas à ascensão social da pintura e do teatro, embora causassem efeitos negativos nas artes apresentadas.
Como os artistas eram vistos socialmente no século XIX?;Tornaram-se respeitados e respeitáveis, podendo receber títulos nobiliárquicos, sem necessariamente se submeter aos padrões burgueses comuns.
Como Wagner usou sua imagem para atingir o público burguês?;Incorporou seus escândalos como parte de sua imagem criativa, cativando o público.
Qual foi a atitude de Gladstone em relação aos artistas e intelectuais?;Em finais da década de 1860, foi o primeiro primeiro-ministro britânico a convidar luminares das artes e da vida intelectual para jantares oficiais, reconhecendo sua importância social.
O público burguês do século XIX se divertia realmente com as artes que patrocinava e aplaudia?;"A questão é anacrônica; havia formas artísticas que tinham relação direta com o entretenimento do público, sobretudo a música ligeira, que viveu sua idade de ouro no período, mas a arte culta não era mero entretenimento ou simples apreço estético."
Quais foram os principais nomes e obras da música ligeira na segunda metade do século XIX?;"Jacques Offenbach (1819-80), Johann Strauss (1825-99) com a ""Valsa do Danúbio Azul"" (1867), ""Die Fledermaus"" (1874), Suppé com a ""Cavalaria Ligeira"" (1820-95), além dos sucessos de Gilbert e Sullivan (1836-1911, 1842-1900)."
Como a ópera se relacionava com o público nessa época?;"A ópera mantinha um contato com o público que buscava entretenimento direto, com obras posteriores a 1848 como ""Rigoletto"", ""Il Trovatore"" e ""La Traviata""."
Como eram vistas as diversões populares como operetas e girl-shows?;"Eram consideradas culturalmente inferiores, similares aos vários girl-shows lançados em Paris na década de 1850, e socialmente menos respeitadas que a ""arte culta""."
"O que significava a expressão ""arte pela arte"" no contexto do século XIX?";Era um fenômeno minoritário, uma reação contra o compromisso político-social da era das revoluções, apenas se tornando moda burguesa no final das décadas de 1870 e 1880, valorizando a arte como esforço humano e verdade espiritual, abster-se de prazer como condição do valor artístico.
Como se caracterizava a função social do artista nesse período?;Artistas eram vistos como sábios, profetas, mestres, moralistas e fontes da verdade, com suas artes coroando o esforço humano e espiritual valorizado pela burguesia.
O que faltava na arquitetura do século XIX que outras artes possuíam?;"Faltava um tema unificador ou uma ""verdade"" moral-ideológica-estética; prevalecia o ecletismo, onde estilos diversos eram adaptados às funções dos edifícios."
