Qual é o período identificado por Eugênio Vargas Garcia como de prevalência do pan-americanismo na política externa brasileira?;De 1889 (I Conferência Pan-Americana) até 1961 (início da Política Externa Independente - PEI).
Quando e onde foi criada a SECIB?;Durante a VIII Cúpula Ibero-Americana, em Porto, 1998.
Qual era o objetivo primordial da SECIB?;Contribuir para a consolidação da Comunidade Ibero-Americana de Nações, baseada em cooperação e interação entre governos, instituições, empresas e sociedade civil.
Quem foi o primeiro secretário da SECIB e qual a sua sede?;"Jorge Alberto Lozoya, diplomata mexicano; sede em Madri, Espanha."
Quando a SECIB foi substituída pela SEGIB?;"Na XIII Cúpula Ibero-Americana, em Santa Cruz de la Sierra, 2003; a SEGIB entrou em vigor em 2005."
Quais os quatro objetivos primordiais da SEGIB?;"1) Fortalecer a Comunidade Ibero-Americana e sua projeção internacional; 2) Promover vínculos históricos, culturais, sociais e econômicos valorizando a diversidade; 3) Auxiliar na organização das Cúpulas e reuniões; 4) Fortalecer a Cooperação Sul-Sul."
Quem é o atual secretário-geral da SEGIB?;O chileno Andrés Allamand.
Qual é o papel da SEGIB na cooperação ibero-americana?;Principal mecanismo de seguimento às decisões das cúpulas, apoio à organização das mesmas, plataforma de apoio para atores do sistema e avaliação dos programas e projetos.
Quais são os oito eixos de trabalho da SEGIB atualmente?;"1) Fortalecimento e visibilidade da cooperação; 2) Inclusão social e governança; 3) Conhecimento, educação superior, ciência e tecnologia; 4) Igualdade de gênero; 5) Cultura e desenvolvimento sustentável; 6) Dimensão ambiental; 7) Inovação e transformação digital; 8) Coesão social."
O que é a Organização de Estados Ibero-Americanos (OEI) e seu objetivo?;Criada em 1949, é uma organização intergovernamental que promove cooperação setorial em educação, ciência, cultura, línguas e direitos humanos, especialmente via Cooperação Sul-Sul.
Quem será a coordenadora da Rede de Inclusão e Combate à Desigualdade da OEI a partir de 2023?;A primeira-dama brasileira, Janja Lula da Silva.
O que é a Conferência dos Ministros de Justiça dos Países Ibero-Americanos (COMJIB)?;Organização criada em 1970 para promover cooperação em políticas públicas de justiça e construir um espaço jurídico coeso na Ibero-América.
Qual importante rede foi criada pela COMJIB em 2004?;A Rede Ibero-Americana de Cooperação Jurídica Internacional (IberRed), para cooperação jurídica em matérias civil e penal.
Qual o objetivo da Organização Ibero-Americana de Seguridade Social (OISS)?;Promover o bem-estar econômico e social dos países ibero-americanos através da coordenação e intercâmbio de experiências em seguridade social e proteção social.
O que é a Organização Internacional da Juventude para a Ibero-América (OIJ)?;Único organismo público internacional para cooperação e implementação de políticas de juventude entre países ibero-americanos.
O que é o CODEI e qual sua função no sistema ibero-americano?;Comitê de Direção Estratégica dos Organismos Ibero-Americanos, criado em 2015 para articular secretarias-gerais e aumentar transparência, visibilidade e eficiência dos recursos.
Qual a participação do Brasil no sistema ibero-americano?;Brasil é membro fundador, participa de todas as organizações, é principal prestador de cooperação, e coordena programas como o Programa Ibero-Americano de Bancos de Leite Humano (Fiocruz), CYTED (CNPq) e IberCultura Viva.
Em quais Cúpulas Ibero-Americanas o presidente Lula participou?;XIII (2003), XIV (2004), XV (2005), XVII (2007), XIX (2009) e XX (2010).
Qual presidente brasileiro participou da maior quantidade de Cúpulas Ibero-Americanas?;Fernando Henrique Cardoso, com participação em sete Cúpulas entre 1995 e 2002.
Qual presidente brasileiro participou da XXII Cúpula (2012)?;Dilma Rousseff.
Quem representou o Brasil na XXVII Cúpula Ibero-Americana (2021)?;Kenneth da Nóbrega, secretário de negociações bilaterais do Brasil no Oriente Médio, Europa e África.
O presidente Bolsonaro participou de alguma Cúpula Ibero-Americana?;Não participou de nenhuma Cúpula.
