Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
O que é o art. 3º comum às Convenções de Genebra?;É a base do DIH para conflitos não internacionais, garantindo tratamento humano a todos os que não participam das hostilidades.
"O que são as ""violações graves"" do DIH?";São infrações que constituem crimes de guerra, sujeitas à jurisdição universal.
O Brasil tem legislação interna para punir crimes de guerra?;Sim, o Código Penal Militar prevê a punição de crimes de guerra, e o Brasil coopera com o TPI.
"O que é a ""jurisdição universal"" para crimes de guerra?";É a competência de qualquer Estado para julgar crimes de guerra, independentemente do local do crime ou da nacionalidade do criminoso.
O Brasil adota a jurisdição universal?;Sim, em certos casos, como a tortura e o genocídio, com base em tratados.
"O que é a ""proibição da escravidão"" no DIH?";A escravidão é proibida em qualquer circunstância, sendo uma norma de jus cogens.
"O que é a ""proteção de bens culturais"" no DIH?";O DIH protege os bens culturais (monumentos, obras de arte, arquivos) contra ataques e pilhagem, com base na Convenção de Haia de 1954.
O Brasil é signatário da Convenção de Haia de 1954 para a Proteção de Bens Culturais?;Sim.
"O que é a ""Zona Desmilitarizada"" no DIH?";É uma área onde as partes em conflito concordam em não realizar operações militares, para proteger civis ou facilitar a assistência humanitária.
"O que é a ""assistência humanitária"" no DIH?";É o fornecimento de alimentos, água, medicamentos e abrigo a populações civis em conflito, com base no princípio da humanidade.
O CICV tem um papel fundamental na assistência humanitária?;Sim, é o principal ator humanitário em conflitos, com base no DIH.
"O que é a ""responsabilidade de proteger"" (R2P) e sua relação com o DIH?";A R2P defende a intervenção para proteger populações de genocídio e crimes de guerra, mas deve ser autorizada pelo Conselho de Segurança da ONU.
"O Brasil defende o conceito de ""responsabilidade ao proteger""?";Sim, o Brasil propôs esse conceito como uma ênfase na prevenção e no respeito à soberania, em contraste com a R2P.
"O que é o ""Tribunal Penal Internacional para a ex-Iugoslávia"" (TPII)?";Foi um tribunal ad hoc criado pela ONU para julgar crimes de guerra na ex-Iugoslávia, encerrado em 2017.
"O que é o ""Tribunal Penal Internacional para Ruanda"" (TPIR)?";Foi um tribunal ad hoc criado pela ONU para julgar crimes de guerra e genocídio em Ruanda, encerrado em 2015.
O Brasil cooperou com os tribunais ad hoc?;Sim, em termos de cooperação jurídica, como a extradição de acusados.
"O que é a ""Corte Internacional de Justiça"" (CIJ) e sua atuação em conflitos?";A CIJ pode julgar Estados por violações do DIH, como no caso Nicarágua x EUA (1986).
"O que é a ""Comissão de Inquérito"" da ONU para conflitos armados?";São comissões criadas para investigar violações do DIH e dos direitos humanos em conflitos específicos (ex.: Síria).
O Brasil apoia a criação de comissões de inquérito?;Sim, vota favoravelmente no Conselho de Direitos Humanos.
"O que é o ""princípio da humanidade"" no DIH?";É o princípio que exige que as pessoas sejam tratadas com humanidade em todas as circunstâncias, mesmo em conflitos.
"O que é o ""princípio da necessidade"" no DIH?";A violência só pode ser usada na medida necessária para alcançar um objetivo militar legítimo.
"O que é o ""princípio da proibição de sofrimento desnecessário""?";Proíbe o uso de armas ou métodos que causem sofrimento excessivo, sem utilidade militar.
"O que são os ""combatentes ilegítimos"" no DIH?";São combatentes que não respeitam as leis da guerra, como os terroristas, que podem ser privados do estatuto de prisioneiro de guerra.
O Brasil tem uma doutrina militar sobre o DIH?;Sim, as Forças Armadas brasileiras incluem o DIH em seus manuais de campanha.
"O que é a ""Operação de Paz"" da ONU e sua relação com o DIH?";As operações de paz têm mandatos que incluem a proteção de civis e o respeito ao DIH, especialmente nas missões de imposição da paz.
O Brasil já aplicou o DIH em suas operações de paz?;Sim, como na MINUSTAH, com respeito às regras de engajamento e proteção de civis.
"O que é a ""mediação humanitária"" no DIH?";São negociações para permitir a passagem de ajuda humanitária ou a evacuação de feridos, com base no DIH.
O Brasil atua como mediador humanitário?;Sim, o Brasil tem atuado em mediações para facilitar a paz e a assistência humanitária.
"O que é a ""Declaração de Viena"" sobre refugiados (1993)?";É uma declaração que reafirma o princípio do non-refoulement e a importância da proteção internacional.
O Brasil participou da Conferência de Viena sobre Refugiados?;Sim, e adotou os princípios da declaração.
"O que é a ""Agência da ONU para Refugiados"" (ACNUR)?";É a agência da ONU que lidera a proteção internacional de refugiados e deslocados.
O ACNUR atua no Brasil?;Sim, com um escritório em Brasília e cooperação com o CONARE.
"O que é o ""Programa de Reassentamento de Refugiados"" no Brasil?";É um programa do CONARE para acolher refugiados de países em conflito, como a Síria.
O Brasil recebe refugiados sírios?;Sim, o Brasil tem um programa especial para acolher refugiados sírios.
"O que é o ""visto humanitário"" no Brasil?";É um visto concedido a pessoas em situação de vulnerabilidade, como deslocados por conflitos, com base na Lei de Migração.
O visto humanitário é o mesmo que o refúgio?;"Não, o refúgio é um status jurídico; o visto humanitário é uma autorização de entrada para situações de emergência."
"O que é a ""Lei de Migração"" (Lei 13.445/2017) e sua relação com o refúgio?";A Lei de Migração substituiu o Estatuto do Estrangeiro e integra o refúgio como um dos institutos de proteção.
"O que é a ""política de acolhimento de refugiados"" no Brasil?";O Brasil tem uma política de acolhimento humanitário, com acesso a direitos e serviços públicos.
;
;
;
O que é o Direito Penal Internacional (DPI)?;É o ramo do Direito Internacional que estabelece crimes de competência da comunidade internacional, atribuindo responsabilidade penal direta a indivíduos.
Qual é a diferença entre o DPI e o Direito Internacional Humanitário (DIH)?;"O DIH regula a conduta em conflitos armados; o DPI pune os indivíduos que violam o DIH e outros crimes internacionais."
Quais são os quatro núcleos de crimes do Estatuto de Roma do TPI?;Genocídio, crimes contra a humanidade, crimes de guerra e crime de agressão.
O que é o genocídio no DPI?;É a intenção de destruir, no todo ou em parte, um grupo nacional, étnico, racial ou religioso, mediante atos como assassinato, lesão grave, etc.
O que são os crimes contra a humanidade?;São atos generalizados ou sistemáticos contra uma população civil, como assassinato, tortura, escravidão, desaparecimento forçado, etc.
O que são os crimes de guerra?;São violações graves das leis e costumes aplicáveis em conflitos armados, como ataques a civis, uso de armas proibidas e maus-tratos a prisioneiros.
O que é o crime de agressão?;É o planejamento, preparação, início ou execução de um ato de agressão, por um Estado, contra a soberania de outro, com gravidade suficiente.
O crime de agressão foi incluído no Estatuto de Roma por qual emenda?;Pela Emenda de Kampala (2010), mas sua jurisdição só foi ativada em 2018.
Quais são os princípios fundamentais do DPI?;Legalidade (nullum crimen sine lege), irretroatividade, responsabilidade penal individual, imprescritibilidade e jurisdição universal.
O princípio da legalidade no DPI exige lei anterior?;Sim, o crime deve estar previsto em lei (tratado ou costume) antes da prática do ato.
O que é a responsabilidade penal individual no DPI?;Os indivíduos (e não os Estados) são responsabilizados criminalmente por crimes internacionais, mesmo se agindo como agentes de Estado.
O que é a imprescritibilidade dos crimes internacionais?;Crimes como genocídio e crimes contra a humanidade não prescrevem, podendo ser julgados a qualquer tempo.
O que é a jurisdição universal?;É a competência de qualquer Estado para julgar crimes internacionais, independentemente do local do crime ou da nacionalidade do criminoso.
O Brasil adota a jurisdição universal para crimes internacionais?;Sim, em certos casos, como tortura e genocídio, com base em tratados e na legislação interna.
Quais são os princípios de jurisdição penal no DPI?;Territorialidade, personalidade ativa (nacionalidade), personalidade passiva (vítima), real (proteção) e universal.
O que são os tribunais penais internacionais?;São tribunais criados para julgar indivíduos por crimes internacionais, podendo ser permanentes (TPI) ou ad hoc.
Quais foram os primeiros tribunais penais internacionais da história moderna?;Os Tribunais de Nuremberg (1945-1946) e de Tóquio (1946-1948), criados após a Segunda Guerra Mundial.
Qual foi a base jurídica dos Tribunais de Nuremberg e Tóquio?;Foram criados por acordos entre as potências aliadas, com base em leis e costumes de guerra existentes.
Qual foi a principal inovação dos Tribunais de Nuremberg e Tóquio?;Estabeleceram a responsabilidade penal individual por crimes contra a paz, crimes de guerra e crimes contra a humanidade.
O que são os tribunais penais internacionais ad hoc?;São tribunais criados para julgar crimes em conflitos específicos, com duração limitada (ex.: TPI ex-Iugoslávia e TPI Ruanda).
Qual é o Tribunal Penal Internacional para a ex-Iugoslávia (TPII)?;Foi um tribunal ad hoc criado pela ONU em 1993 para julgar crimes de guerra na ex-Iugoslávia.
Qual é o Tribunal Penal Internacional para Ruanda (TPIR)?;Foi um tribunal ad hoc criado pela ONU em 1994 para julgar o genocídio em Ruanda.
"O que são os ""tribunais híbridos"" ou ""mistas""?";São tribunais com participação internacional e nacional, como o Tribunal Especial para Serra Leoa e as Câmaras Extraordinárias do Camboja.
O Brasil participou da criação de algum tribunal híbrido?;Não diretamente, mas apoia a criação de mecanismos de justiça internacional.
O que é o Mecanismo Residual Internacional para Tribunais Penais (MIRTP)?;É um órgão da ONU que assumiu as funções remanescentes do TPII e do TPIR após seu encerramento.
O que é o Tribunal Penal Internacional (TPI)?;É um tribunal penal permanente, com sede em Haia, criado pelo Estatuto de Roma (1998), para julgar indivíduos por genocídio, crimes contra a humanidade, crimes de guerra e agressão.
O Estatuto de Roma entrou em vigor em que data?;Em 1º de julho de 2002, após a 60ª ratificação.
O Brasil ratificou o Estatuto de Roma?;Sim, em 2002, por meio do Decreto Legislativo 112/2002.
Quantos Estados são membros do TPI atualmente?;Cerca de 124 Estados (em 2024).
O TPI tem jurisdição sobre Estados que não ratificaram o Estatuto?;Em regra, não, mas pode julgar nacionais de Estados não membros se o crime ocorrer em território de Estado membro.
Qual é a sede do TPI?;Haia, Países Baixos.
O TPI é um órgão da ONU?;Não, é uma organização internacional independente, com um acordo de relacionamento com a ONU.
Qual é a composição do TPI?;18 juízes, eleitos pela Assembleia dos Estados Partes, com mandato de 9 anos.
Quem é o Procurador do TPI?;É um funcionário independente, eleito pela Assembleia dos Estados Partes, responsável por investigar e processar crimes.
Qual é o princípio da complementaridade no TPI?;O TPI só atua quando os Estados nacionais não podem ou não querem julgar os crimes (incapacidade ou falta de vontade).
"O que significa ""incapacidade"" do Estado no princípio da complementaridade?";Quando o sistema judiciário nacional está colapsado ou não tem condições de processar o acusado.
"O que significa ""falta de vontade"" do Estado no princípio da complementaridade?";Quando o Estado realiza um processo meramente formal para proteger o acusado, ou há demora injustificada.
O TPI pode julgar crimes cometidos por nacionais de Estados não membros?;Sim, se o crime ocorreu no território de um Estado membro ou se o caso for encaminhado pelo Conselho de Segurança da ONU.
O Conselho de Segurança da ONU pode encaminhar casos ao TPI?;Sim, nos termos do art. 13 do Estatuto de Roma, o CS pode encaminhar situações ao TPI.
O TPI tem jurisdição sobre crimes cometidos antes da entrada em vigor do Estatuto?;Não, o Estatuto não é retroativo (art. 24).
O TPI pode julgar menores de 18 anos?;Não, o Estatuto prevê que o TPI não tem jurisdição sobre pessoas com menos de 18 anos à época do crime.
Quais são as penas previstas no Estatuto de Roma?;Reclusão por até 30 anos, prisão perpétua, e multa, além de confisco de bens.
O TPI pode aplicar a pena de morte?;Não, o Estatuto de Roma não prevê a pena de morte.
O TPI tem competência para julgar o crime de agressão?;Sim, desde a ativação da jurisdição em 2018, mas com condições (ex.: necessidade de decisão do CS ou da AGNU).
"O que é a ""Emenda de Kampala"" (2010)?";Foi a emenda que definiu o crime de agressão e estabeleceu as condições para sua jurisdição no TPI.
O Brasil ratificou a Emenda de Kampala?;Sim, o Brasil ratificou a emenda sobre a agressão em 2020.
Quais são os órgãos do TPI?;A Presidência, as Divisões de Primeira Instância e de Apelação, o Gabinete do Procurador e a Secretaria.
Como é o processo no TPI?;O Procurador investiga, apresenta um requerimento de abertura de instrução, o juiz de instrução confirma as acusações, e o caso vai a julgamento.
O TPI pode emitir mandados de prisão?;Sim, e os Estados partes têm a obrigação de cooperar para prender e entregar o acusado.
O TPI pode julgar o acusado à revelia?;Não, o TPI exige a presença do acusado em julgamento.
O TPI tem uma Câmara de Apelação?;Sim, a decisão da Câmara de Primeira Instância pode ser apelada para a Câmara de Apelação.
As decisões do TPI são finais e vinculantes?;Sim, para as partes no processo, e os Estados partes devem cumprir as sentenças.
O TPI pode julgar casos de terrorismo?;Não, o terrorismo não está incluído no Estatuto de Roma, mas atos terroristas podem ser considerados crimes contra a humanidade em certas circunstâncias.
O TPI tem um Fundo de Reparação para as Vítimas?;Sim, o Fundo Fiduciário para as Vítimas foi criado para fornecer reparações às vítimas de crimes do TPI.
O Brasil já foi investigado pelo TPI?;Não, o Brasil nunca foi objeto de investigação formal, embora tenha havido comunicações sobre a situação na Amazônia.
O TPI investiga crimes ambientais?;Não diretamente, mas pode considerar crimes ambientais como crimes contra a humanidade ou crimes de guerra (ex.: destruição ambiental).
"O que é o ""crime de ecocídio"" e sua relação com o TPI?";O ecocídio é um crime proposto (destruição ambiental) para ser incluído no Estatuto de Roma, mas ainda não foi aprovado.
Qual a relação entre o TPI e o Tribunal Internacional de Justiça (CIJ)?;"A CIJ julga Estados; o TPI julga indivíduos. São tribunais distintos, ambos em Haia."
O TPI tem acordo de cooperação com a ONU?;Sim, o TPI tem um acordo de relacionamento com a ONU, assinado em 2004.
Os Estados partes são obrigados a cooperar com o TPI?;Sim, nos termos do Estatuto de Roma, devem cooperar com investigações e processos.
O TPI pode solicitar a prisão de um chefe de Estado em exercício?;Sim, não há imunidade para os crimes do Estatuto, mesmo para chefes de Estado (art. 27).
O que é o art. 27 do Estatuto de Roma?;Estabelece que o cargo oficial de uma pessoa (inclusive Chefe de Estado) não a isenta de responsabilidade penal.
"O que é a ""imunidade funcional"" e sua relação com o TPI?";A imunidade funcional (por atos oficiais) não se aplica aos crimes do TPI, mas a imunidade pessoal (chefes de Estado em visita) pode ser levantada pelo Estado de origem.
O TPI já condenou chefes de Estado?;Sim, em casos como o de Charles Taylor (Libéria) e o de Laurent Gbagbo (Costa do Marfim).
"O que é a ""cooperação internacional"" com o TPI?";É a obrigação dos Estados de prender e entregar acusados, fornecer provas e testemunhas, e cumprir as sentenças.
O Brasil já entregou algum acusado ao TPI?;Não, o Brasil não entregou ninguém ao TPI até o momento.
O TPI pode julgar cidadãos brasileiros por crimes cometidos no Brasil?;Sim, se o Brasil não puder ou não quiser julgar, e o crime for de competência do TPI.
O TPI já abriu investigação sobre a Venezuela?;Sim, o TPI abriu investigação sobre a Venezuela por crimes contra a humanidade.
O TPI investiga crimes na Ucrânia?;Sim, o TPI abriu investigação sobre a situação na Ucrânia, inclusive contra autoridades russas.
O TPI investigou crimes em Darfur (Sudão)?;Sim, o CS encaminhou a situação de Darfur ao TPI, que emitiu mandados contra altos funcionários sudaneses.
"O que são as ""medidas de proteção"" do TPI?";São medidas para proteger vítimas e testemunhas contra riscos, como a ocultação de identidade.
"O TPI tem uma ""Unidade de Apoio às Vítimas""?";Sim, a Seção de Participação e Reparação das Vítimas.
"O que é a ""entrega voluntária"" ao TPI?";Quando o acusado se entrega voluntariamente ao tribunal, sem necessidade de prisão coercitiva.
O TPI tem competência para crimes de tráfico de drogas?;Não, o tráfico de drogas não está no Estatuto de Roma.
O TPI pode julgar crimes de pirataria?;Não, a pirataria é crime de direito internacional consuetudinário, mas não está no Estatuto de Roma.
"O que são os ""crimes de guerra"" no TPI?";São violações graves das Convenções de Genebra e outras regras do DIH, incluindo ataques a civis, uso de armas proibidas, etc.
O TPI pode julgar crimes cometidos por empresas (pessoas jurídicas)?;Não, o TPI julga apenas pessoas físicas (art. 25 do Estatuto).
"O que é a ""participação criminosa"" no TPI?";O indivíduo pode ser responsabilizado por ter cometido, ordenado, solicitado ou contribuído para um crime.
"O que é a ""excludente de responsabilidade"" no TPI?";Causas como legítima defesa, coação, estado de necessidade e erro de fato podem excluir a responsabilidade.
O TPI segue o princípio do nullum crimen sine lege?;Sim, os crimes devem estar previstos no Estatuto ou no DIP consuetudinário.
O TPI adota o princípio do ne bis in idem (não dupla persecução)?;Sim, o indivíduo não pode ser julgado novamente pelo TPI ou por um tribunal nacional pelo mesmo crime.
O TPI pode arquivar um caso?;Sim, o Procurador pode arquivar se não houver base razoável para uma investigação.
O TPI tem competência para revisar suas sentenças?;Sim, há um procedimento de revisão em caso de novas provas.
O TPI pode emitir uma sentença de absolvição?;Sim, se não houver provas suficientes para condenação.
"O que é a ""cooperação dos Estados não partes"" com o TPI?";Não são obrigados, mas podem cooperar voluntariamente ou por decisão do CS da ONU.
O Brasil tem legislação de implementação do Estatuto de Roma?;Sim, a Lei 11.838/2005 dispõe sobre a cooperação com o TPI.
O Brasil extradita para o TPI?;"Tecnicamente, é uma ""entrega"" ao TPI, não uma extradição, regida pela Lei 11.838/2005."
"O que é o ""princípio da não devolução"" para o TPI?";Não se aplica diretamente, mas os Estados não podem devolver uma pessoa ao TPI se houver risco de tortura.
O TPI é um tribunal substituto dos tribunais nacionais?;Não, é complementar (princípio da complementaridade).
O TPI já condenou alguém por crime de agressão?;Ainda não, pois a jurisdição sobre agressão foi ativada recentemente.
O TPI tem juízes brasileiros?;"Sim, a juíza Silvia Fernández de Gurmendi (argentina, não brasileira) foi presidente; juízes brasileiros já serviram no TPI."
Qual é a relação entre o TPI e a Corte Interamericana de Direitos Humanos?;"São tribunais distintos: a Corte IDH julga Estados; o TPI julga indivíduos."
O TPI pode julgar crimes de genocídio cometidos no Brasil?;Sim, se o Brasil não puder ou não quiser julgar.
"O que é a ""diligência de entrega"" ao TPI?";É o procedimento pelo qual o Brasil prende e entrega um acusado ao TPI.
O TPI pode solicitar a apreensão de bens de um acusado?;Sim, para garantir futuras reparações ou multas.
O TPI tem uma política de proteção a vítimas e testemunhas?;Sim, há uma Seção de Proteção a Vítimas e Testemunhas.
O TPI pode julgar crimes cometidos por menores de 18 anos?;Não, como já mencionado, o limite é 18 anos.
O TPI é financeiramente independente?;Sim, seu orçamento é aprovado pela Assembleia dos Estados Partes.
O Brasil é membro da Assembleia dos Estados Partes do TPI?;Sim, e participa de suas reuniões anuais.
O TPI pode julgar crimes de tráfico de pessoas?;Sim, se o tráfico de pessoas for considerado crime contra a humanidade.
"O TPI tem um ""fundo fiduciário"" para vítimas?";Sim, administrado por uma comissão independente.
O TPI pode julgar crimes de perseguição política?;Sim, se a perseguição for parte de um ataque generalizado contra uma população.
"O que é a ""denúncia"" ao TPI?";Qualquer pessoa, Estado ou organização pode enviar informações ao Procurador para iniciar uma investigação.
O TPI é soberano?;Sim, é uma organização internacional com personalidade jurídica e independência.
O TPI pode julgar o crime de apartheid?;Sim, o apartheid é considerado crime contra a humanidade.
O TPI pode julgar crimes de esterilização forçada?;Sim, como crime contra a humanidade.
"O TPI tem um ""Código de Conduta"" para seus juízes?";Sim, para garantir a imparcialidade e independência.
O TPI pode julgar crimes de recrutamento de crianças-soldado?;Sim, como crime de guerra.
"O TPI pode julgar o crime de ""perseguição por gênero""?";Sim, o Estatuto de Roma reconhece a perseguição por gênero como crime contra a humanidade.
;
;
O que é o Direito do Comércio Internacional?;É o ramo do Direito que regula as relações comerciais entre Estados, abrangendo as regras e princípios que disciplinam o comércio de bens, serviços e propriedade intelectual.
Qual é a principal organização internacional que regula o comércio mundial?;A Organização Mundial do Comércio (OMC), criada em 1995 pelo Acordo de Marraqueche.
A OMC sucedeu qual organização?;O GATT (Acordo Geral sobre Tarifas e Comércio), que existia desde 1947.
Qual é o principal objetivo da OMC?;Promover a liberalização do comércio internacional, reduzindo barreiras tarifárias e não tarifárias, e garantir um sistema comercial previsível e transparente.
Quantos membros tem a OMC atualmente?;Cerca de 164 membros (em 2024).
O Brasil é membro fundador da OMC?;Sim, o Brasil é membro da OMC desde sua criação em 1995.
Qual é a estrutura institucional da OMC?;A Conferência Ministerial (órgão supremo), o Conselho Geral, os Conselhos Específicos (para bens, serviços e TRIPS), comitês e o Secretariado.
Com que frequência a Conferência Ministerial da OMC se reúne?;A cada dois anos, no mínimo.
Qual é a função do Conselho Geral da OMC?;Gerir os assuntos correntes da OMC entre as Conferências Ministeriais e atuar como OSC (Órgão de Solução de Controvérsias) e como OEPC (Órgão de Exame de Políticas Comerciais).
"O que é o princípio da ""nação mais favorecida"" (NMF)?";É a cláusula que obriga um membro da OMC a conceder a todos os demais membros o mesmo tratamento vantajoso concedido a qualquer outro país.
"O que é o princípio do ""tratamento nacional""?";É a obrigação de não discriminar produtos importados em relação a produtos nacionais, uma vez que os primeiros tenham entrado no mercado interno.
O princípio da NMF é aplicável a todos os acordos da OMC?;Sim, é um princípio fundamental do GATT, do GATS e do TRIPS, com exceções previstas (ex.: acordos de integração regional).
O princípio do tratamento nacional é aplicável a bens, serviços e propriedade intelectual?;Sim, está previsto nos Acordos GATT (bens), GATS (serviços) e TRIPS (propriedade intelectual).
"O que é a ""cláusula de habilitação"" (Enabling Clause)?";É uma cláusula que autoriza tratamento diferenciado e mais favorável para países em desenvolvimento, como o Sistema Geral de Preferências (SGP).
Quais são os principais acordos da OMC sobre bens?;O GATT 1994, os Acordos sobre Agricultura, Têxteis e Vestuário (ATC - extinto), Medidas Sanitárias e Fitossanitárias (SPS), Barreiras Técnicas (TBT), Subsídios e Medidas Compensatórias, Antidumping, Salvaguardas, Investimentos (TRIMs) e Valoração Aduaneira.
O que é o Acordo GATT (1994)?;É o Acordo Geral sobre Tarifas e Comércio, que estabelece as regras básicas para o comércio de bens, incluindo a redução de tarifas e a proibição de restrições quantitativas.
O que é o Acordo GATS?;É o Acordo Geral sobre Comércio de Serviços, que regula o comércio internacional de serviços, com base em quatro modos de prestação.
Quais são os quatro modos de prestação de serviços no GATS?;Modo 1 (fornecimento transfronteiriço), Modo 2 (consumo no exterior), Modo 3 (presença comercial) e Modo 4 (presença de pessoas físicas).
O que é o Acordo TRIPS?;É o Acordo sobre Aspectos dos Direitos de Propriedade Intelectual Relacionados ao Comércio, que estabelece padrões mínimos de proteção à propriedade intelectual.
O que é o Acordo TRIMs?;É o Acordo sobre Medidas de Investimento Relacionadas ao Comércio, que proíbe certas medidas restritivas ao comércio, como a exigência de conteúdo local.
O que é o Acordo sobre Agricultura?;É o acordo que regula o comércio agrícola, com compromissos de redução de subsídios e acesso a mercados.
O que é o Acordo SPS (Medidas Sanitárias e Fitossanitárias)?;É o acordo que estabelece regras para a aplicação de medidas sanitárias e fitossanitárias, para proteger a saúde humana, animal e vegetal, baseadas em ciência.
O que é o Acordo TBT (Barreiras Técnicas)?;É o acordo que regula as barreiras técnicas ao comércio, como regulamentos técnicos, padrões e procedimentos de avaliação de conformidade, para evitar que sejam usados como restrições disfarçadas.
O que é o Acordo Antidumping?;É o acordo que regula a aplicação de medidas antidumping, que são direitos adicionais aplicados a importações a preços inferiores ao valor normal (dumping) que causam dano à indústria doméstica.
O que é o Acordo sobre Subsídios e Medidas Compensatórias?;É o acordo que regula os subsídios governamentais e as medidas compensatórias (direitos compensatórios) para neutralizar subsídios que causam dano à indústria doméstica.
O que é o Acordo sobre Salvaguardas?;É o acordo que regula a aplicação de medidas de salvaguarda, que são restrições temporárias às importações em caso de aumento súbito que cause dano grave à indústria doméstica.
O que é o Acordo sobre Valoração Aduaneira?;É o acordo que estabelece um sistema justo, uniforme e neutro para a determinação do valor aduaneiro das mercadorias.
O que é o Acordo sobre Inspeção Pré-Embarque?;É o acordo que regula a prática de inspeção pré-embarque de mercadorias por empresas privadas, para garantir que não seja usada como barreira comercial.
O que é o Acordo sobre Regras de Origem?;É o acordo que estabelece regras para a determinação da origem das mercadorias, para a aplicação de tarifas preferenciais ou medidas comerciais.
O que é o Entendimento sobre Solução de Controvérsias (DSU)?;"É o documento que estabelece as regras e procedimentos para a solução de controvérsias na OMC, conhecido como ""sistema de solução de controvérsias""."
O que é o Órgão de Solução de Controvérsias (OSC) da OMC?;É o órgão da OMC (que é o Conselho Geral reunido como OSC) que administra o sistema de solução de controvérsias.
Qual é a principal inovação do sistema da OMC em relação ao GATT?;A criação de um sistema de solução de controvérsias com prazos definidos e a proibição de bloqueio das decisões (consenso negativo).
Como funciona o sistema de solução de controvérsias da OMC?;"O sistema tem três etapas principais: 1) Consultas; 2) Painel (e apelação); e 3) Implementação e retaliação."
Qual é o prazo total para a solução de uma controvérsia na OMC?;Cerca de 15 meses, podendo se estender com a apelação.
"O que são as ""consultas"" no sistema da OMC?";É a primeira fase obrigatória, na qual as partes tentam chegar a um acordo amigável por negociação direta.
O que acontece se as consultas não tiverem sucesso?;A parte reclamante pode solicitar a constituição de um painel de especialistas para julgar o caso.
"O que são os ""painéis"" da OMC?";São grupos de três especialistas independentes que analisam o caso e emitem um relatório (laudo) sobre a conformidade da medida com os Acordos da OMC.
Como são escolhidos os membros de um painel da OMC?;São escolhidos por consenso entre as partes, ou, na falta, designados pelo Diretor-Geral da OMC.
"O que é o ""Órgão de Apelação"" da OMC?";É um órgão permanente de sete membros que revisa as decisões dos painéis, podendo confirmar, modificar ou reverter o laudo.
O Órgão de Apelação da OMC está funcionando atualmente?;Não, está paralisado desde dezembro de 2019, devido ao bloqueio de indicações de novos membros pelos EUA.
Qual é a situação atual do sistema de apelação da OMC?;"Está em crise, com membros buscando soluções alternativas (como o ""Acordo de Apelação Multipartidário"" - MPIA)."
"O que é o ""relatório do painel"" e quando ele é adotado?";É o laudo do painel, que é adotado pelo OSC a menos que haja consenso para rejeitá-lo (consenso negativo).
O relatório do painel é automaticamente adotado?;Sim, a menos que haja apelação ou consenso contrário no OSC.
"O que é o ""consenso negativo"" no OSC?";É a regra pela qual o relatório do painel é adotado a menos que todos os membros do OSC concordem em rejeitá-lo (o que é muito difícil).
"O que é a ""implementação"" da decisão na OMC?";O membro que perdeu deve implementar a recomendação do painel ou do Órgão de Apelação no prazo razoável.
O que acontece se o membro perdedor não implementar a decisão?;A parte vencedora pode solicitar autorização para aplicar medidas compensatórias (retaliação) contra o membro perdedor.
"O que são as ""medidas compensatórias"" (retaliação) na OMC?";São medidas, como a suspensão de concessões tarifárias, aplicadas pela parte vencedora contra o membro perdedor, autorizadas pelo OSC.
A retaliação na OMC pode ser cruzada (cross-retaliation)?;Sim, pode ser aplicada em diferentes setores (bens, serviços ou propriedade intelectual), se não for possível no mesmo setor.
"O que é a ""jurisprudência"" da OMC?";É o conjunto de decisões (laudos) dos painéis e do Órgão de Apelação, que servem como referência para a interpretação dos Acordos da OMC.
A jurisprudência da OMC é vinculante (stare decisis)?;Não formalmente, mas as decisões anteriores são seguidas consistentemente, criando uma prática consolidada.
O Brasil já foi parte em quantas controvérsias na OMC?;O Brasil é um dos membros mais ativos, tendo sido reclamante e reclamado em dezenas de casos.
O Brasil já venceu casos na OMC?;Sim, como o caso do algodão (Brasil x EUA) e o caso do açúcar (Brasil x UE).
O que é o caso do algodão (Brasil x EUA) na OMC?;Foi uma controvérsia em que o Brasil questionou os subsídios dos EUA ao algodão, vencendo em todas as instâncias.
O Brasil já sofreu retaliação autorizada pela OMC?;"Sim, em casos como o das ""Medidas Antidumping sobre Pneus Remoldados"" (UE x Brasil)."
"O que é o ""Acordo de Compras Governamentais"" (GPA)?";É um acordo plurilateral da OMC (não obrigatório para todos) que regula a abertura de compras governamentais à concorrência internacional.
O Brasil é signatário do GPA?;Não, o Brasil não aderiu ao GPA, mas está em processo de negociação para adesão.
"O que são os ""acordos plurilaterais"" na OMC?";São acordos que obrigam apenas os membros que os assinam, e não todos os membros (ex.: GPA).
"O que são os ""acordos multilaterais"" na OMC?";São acordos que obrigam todos os membros da OMC (ex.: GATT, GATS, TRIPS).
"O que é a ""Rodada Doha"" de negociações da OMC?";É a Rodada de negociações lançada em 2001, com o objetivo de promover o desenvolvimento, mas que está em impasse.
Por que a Rodada Doha está em impasse?;Por divergências entre países desenvolvidos e em desenvolvimento sobre subsídios agrícolas, acesso a mercados e outros temas.
"O que é o ""Pacote de Bali"" (2013)?";Foi um conjunto de acordos na Rodada Doha, incluindo o Acordo sobre Facilitação do Comércio (AFC).
O que é o Acordo sobre Facilitação do Comércio (AFC)?;É um acordo da OMC que visa simplificar e agilizar os procedimentos aduaneiros e de comércio.
O Brasil ratificou o Acordo sobre Facilitação do Comércio?;Sim, ratificou em 2016.
